Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Marketplace Platforms,25.83
Marketplace Platforms,C2C Marketplaces,12.03
C2C Marketplaces,Handmade Goods,6.37
C2C Marketplaces,Used Goods,5.66
Marketplace Platforms,B2C Platforms,13.8
B2C Platforms,Electronics Retailers,7.77
B2C Platforms,Fashion Retailers,6.03
Root,Customer Engagement,34.21
Customer Engagement,Marketing Strategies,12.41
Marketing Strategies,Social Media Ads,12.41
Customer Engagement,Customer Service,21.8
Root,Payment & Logistics,39.96
Payment & Logistics,Digital Payment Systems,39.96
