Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Physical Sciences,40.87
Physical Sciences,Chemistry,10.36
Chemistry,Organic Chemistry,5.27
Chemistry,Inorganic Chemistry,5.09
Physical Sciences,Physics,30.51
Physics,Quantum Physics,14.1
Physics,Mechanics,16.41
Mechanics,Dynamics,5.17
Mechanics,Oscillations,5.54
Mechanics,Kinematics,5.69
Root,Life Sciences,24.36
Life Sciences,Biology,15.21
Biology,Genetics,15.21
Genetics,DNA Structure,8.19
Genetics,Genetic Engineering,7.02
Life Sciences,Neuroscience,9.15
Root,Applied Sciences,34.77
Applied Sciences,Computer Science,34.77
