Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Platforms,38.5
Platforms,Social Networks,29.33
Social Networks,Facebook,12.18
Social Networks,Instagram,17.15
Instagram,Shop,5.12
Instagram,Stories,5.24
Instagram,Reels,6.79
Platforms,Messaging Apps,9.17
Root,User Engagement,40.69
User Engagement,Sharing and Virality,16.82
Sharing and Virality,Reposts,11.78
Reposts,Link Shares,6.5
Reposts,Stories Share,5.28
Sharing and Virality,Memes,5.04
User Engagement,Reactions and Comments,23.87
Reactions and Comments,Comments,23.87
Root,Content Creation,20.8
Content Creation,Video Platforms,20.8
