Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Sports Media and Tech,27.11
Sports Media and Tech,Sports Technology,14.4
Sports Technology,Analytics Tools,6.06
Sports Technology,Wearables,8.34
Sports Media and Tech,Live Broadcasting,12.71
Live Broadcasting,Online Streaming,6.91
Live Broadcasting,Television Coverage,5.8
Root,Competitive Sports,37.64
Competitive Sports,Individual Sports,24.69
Individual Sports,Athletics,24.69
Athletics,Track Events,5.64
Athletics,Field Events,10.62
Athletics,Marathon,8.43
Competitive Sports,Team Sports,12.95
Root,Fitness and Wellness,35.25
Fitness and Wellness,Personal Training,35.25
