Business and Finance,Business Distribution by Category (2021),%
parent,child,value
Root,Financial Management,25.72
Financial Management,Budgeting & Planning,11.34
Budgeting & Planning,Capital Budgeting,5.23
Budgeting & Planning,Operational Forecasting,6.11
Financial Management,Investment Strategy,14.38
Investment Strategy,Risk Management,8.05
Investment Strategy,Asset Allocation,6.33
Root,Digital Transformation,43.02
Digital Transformation,Data Strategy,31.52
Data Strategy,Business Intelligence,31.52
Business Intelligence,Data Warehousing,5.1
Business Intelligence,Dashboards,21.36
Business Intelligence,KPI Tracking,5.07
Digital Transformation,Technology Adoption,11.5
Root,Corporate Strategy,31.26
Corporate Strategy,Growth Models,31.26
