Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Destination Types,27.67
Destination Types,Nature Tourism,18.23
Nature Tourism,Coastal Areas,5.18
Nature Tourism,Mountain Destinations,13.05
Destination Types,Urban Tourism,9.44
Root,Travel Services,21.77
Travel Services,Guided Tours,16.24
Guided Tours,Cultural Tours,5.82
Guided Tours,Adventure Tours,10.42
Travel Services,Transportation,5.53
Transportation,Air Travel,5.53
Root,Hospitality Services,50.56
Hospitality Services,Dining Experiences,50.56
