Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,49.09
Precision Planting,Seeders,6.15
Seeders,Row Units,6.15
Row Units,Depth Control,6.15
Precision Planting,Fertigation Systems,42.94
Fertigation Systems,Dosing Mechanisms,42.94
Dosing Mechanisms,Venturi Injectors,42.94
Venturi Injectors,Flow Calibration,21.62
Venturi Injectors,Anti-Clog Nozzles,21.32
Crop Systems,Irrigation Tech,50.91
Irrigation Tech,Pivot Systems,18.96
Pivot Systems,Control Modules,13.78
Control Modules,Water Flow,13.78
Water Flow,Valve Types,13.78
Valve Types,Ball Valves,5.8
Valve Types,Solenoid Valves,7.98
Pivot Systems,Sprinkler Types,5.18
Sprinkler Types,Impact Drive,5.18
Impact Drive,Nozzle Plates,5.18
Irrigation Tech,Drip Networks,31.95
Drip Networks,Emitter Design,31.95
Emitter Design,Pressure Compensating,31.95
Pressure Compensating,Silicone Diaphragms,31.95
Silicone Diaphragms,Laser-Drilled Orifices,15.26
Silicone Diaphragms,Turbulence Chambers,16.69
