Food and Beverage Industry,Food Industry Distribution by Category (2021),%
parent,child,value
,Processing Lines,16.05
Processing Lines,Thermal Systems,16.05
Thermal Systems,Retort Machines,6.51
Thermal Systems,Blast Chillers,9.54
Blast Chillers,Refrigeration Circuits,9.54
Refrigeration Circuits,Compressor Types,9.54
,Packaging Systems,83.95
Packaging Systems,Filling Machines,6.33
Packaging Systems,Sealing Equipment,77.62
Sealing Equipment,Aseptic Sealers,77.62
Aseptic Sealers,H2O2 Sterilization,77.62
H2O2 Sterilization,Vapor Control,77.62
Vapor Control,Catalytic Converters,46.92
Vapor Control,Condensation Traps,30.7
