Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
,Physics Research,58.21
Physics Research,Particle Accelerators,5.43
Particle Accelerators,Magnet Systems,5.43
Physics Research,Plasma Physics,52.78
Plasma Physics,Confinement Methods,52.78
Confinement Methods,Magnetic Mirror,52.78
Magnetic Mirror,End Plugging,52.78
End Plugging,Rotating Plasmas,36.29
End Plugging,Electrostatic Barriers,16.49
,Quantum Computing,41.79
Quantum Computing,Qubit Tech,6.52
Quantum Computing,Error Correction,35.27
Error Correction,Surface Codes,35.27
Surface Codes,Logical Qubits,35.27
Logical Qubits,Lattice Structures,35.27
Lattice Structures,Hexagonal Lattices,10.72
Lattice Structures,Triangular Meshes,24.55
