Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,28.36
Precision Planting,Seeders,6.99
Seeders,Row Units,6.99
Row Units,Depth Control,6.99
Precision Planting,Fertigation Systems,21.37
Fertigation Systems,Dosing Mechanisms,21.37
Dosing Mechanisms,Venturi Injectors,21.37
Venturi Injectors,Flow Calibration,10.98
Venturi Injectors,Anti-Clog Nozzles,10.39
Crop Systems,Irrigation Tech,71.64
Irrigation Tech,Pivot Systems,12.75
Pivot Systems,Control Modules,5.75
Control Modules,Water Flow,5.75
Water Flow,Valve Types,5.75
Pivot Systems,Sprinkler Types,7.0
Sprinkler Types,Impact Drive,7.0
Impact Drive,Nozzle Plates,7.0
Irrigation Tech,Drip Networks,58.89
Drip Networks,Emitter Design,58.89
Emitter Design,Pressure Compensating,58.89
Pressure Compensating,Silicone Diaphragms,58.89
Silicone Diaphragms,Laser-Drilled Orifices,47.06
Silicone Diaphragms,Turbulence Chambers,11.83
