Science and Engineering, Research and Development Investment by Country, million USD, t
Zephyr,Yorkton,Rosewood,Quarryville,Creston,Oakridge,Mapleton
669,626,560,573,478,572,671
760,640,421,627,690,517,540
418,633,491,469,536,621,635
603,665,637,594,311,658,628
522,538,670,473,649,578,318
642,524,532,758,691,569,664
527,671,675,466,432,391,436
595,718,515,619,373,394,547
390,599,412,703,341,565,750
392,672,350,492,652,605,671
642,505,826,447,388,527,442
677,588,624,635,373,687,600
505,508,599,757,395,380,686
623,442,627,526,514,555,595
346,600,331,642,872,456,160
590,599,102,585,607,645,669
794,558,453,551,439,527,957
577,389,571,427,525,614,619
643,648,673,286,535,511,593
673,660,502,679,359,554,575
610,592,563,345,452,590,348
597,537,581,495,552,631,887
541,589,543,486,633,508,760
572,487,772,519,622,634,636
449,545,554,708,445,418,825
506,515,485,579,414,379,774
308,676,514,540,499,484,632
345,750,441,463,383,591,567
268,607,474,745,336,742,820
587,631,641,809,279,430,705
833,658,657,475,511,5,732
612,617,678,598,401,649,648
496,556,628,791,545,678,707
721,470,357,589,420,587,656
421,715,453,622,655,575,628
507,535,495,448,541,515,823
480,472,425,438,518,800,505
552,520,580,357,431,581,556
385,532,562,533,487,493,707
606,583,557,543,97,517,739
598,523,577,616,451,507,253
615,628,399,680,594,449,390
489,584,686,608,523,528,844
379,483,646,752,499,657,586
484,546,719,523,659,554,643
499,718,779,612,485,592,615
413,505,686,786,402,782,665
330,473,640,548,596,656,673
486,585,630,633,470,716,643
606,455,507,453,410,443,587
665,667,608,611,619,449,537
656,529,438,587,521,676,498
563,438,431,584,854,522,615
367,565,551,709,310,592,543
429,599,490,499,530,546,648
646,562,487,396,555,716,553
792,571,590,505,577,534,759
567,690,565,538,473,622,592
712,701,401,626,438,575,656
616,551,564,538,521,669,766
623,614,606,633,474,692,632
481,539,462,659,399,472,673
598,414,577,568,251,564,595
523,621,476,661,497,549,974
599,525,598,662,488,667,473
566,462,623,606,761,595,734
619,644,408,613,411,490,596
508,707,588,490,335,580,558
595,582,549,416,427,631,780
443,549,475,529,433,557,362
616,519,762,599,576,654,786
447,652,594,440,498,566,701
787,660,645,538,682,504,667
530,767,465,579,404,426,621
545,575,510,548,397,508,605
583,634,481,591,644,601,571
534,551,598,699,360,665,664
576,631,561,623,668,543,502
825,586,474,569,355,584,614
569,628,624,535,592,460,416
509,522,382,651,568,350,647
734,483,435,591,511,521,678
822,531,497,583,749,545,698
656,729,608,645,446,717,669
534,667,314,831,447,643,767
622,578,802,529,226,500,574
751,534,479,585,473,568,532
783,456,410,702,490,523,427
539,534,544,438,392,559,698
624,628,706,700,596,716,517
705,699,513,668,445,413,357
673,568,523,359,429,608,690
498,501,533,751,492,596,587
581,636,644,460,580,494,539
518,613,485,593,543,648,510
498,589,741,654,280,403,635
600,629,618,500,595,507,678
559,536,639,499,539,541,688
770,479,505,625,575,703,651
390,550,510,435,266,389,478
544,430,635,635,308,606,664
536,453,626,535,558,559,690
437,514,490,669,427,501,733
643,606,617,593,391,548,512
540,645,513,347,423,569,554
633,250,651,536,419,516,602
596,599,618,291,464,641,765
563,325,521,491,435,527,709
781,703,623,490,601,598,572
570,531,663,470,488,407,568
451,423,634,608,537,534,565
533,552,698,594,407,698,591
590,663,495,357,469,571,554
592,465,756,615,555,597,402
663,605,512,484,393,556,608
435,544,331,315,441,407,686
329,499,827,473,819,495,575
634,566,658,588,516,595,592
