Science and Engineering, Research and Development Investment by Country, million USD, skewed
Yorkton,Oakridge
1415,222
326,520
740,400
559,305
473,349
337,621
351,526
1249,321
1686,659
548,175
736,135
408,295
656,464
737,616
1154,166
1059,337
984,241
467,498
702,373
1315,484
830,488
935,147
462,479
1191,443
956,922
1350,454
566,579
512,314
870,257
963,232
465,193
748,187
427,174
523,326
534,582
1306,319
1062,336
326,508
983,463
335,562
267,332
914,290
528,657
592,488
812,149
475,245
170,549
766,554
1300,394
297,463
381,694
525,565
264,425
1091,273
735,571
767,322
437,395
772,656
215,439
713,290
644,581
557,169
331,867
277,261
618,707
713,499
517,352
572,367
1050,529
913,596
438,317
1013,369
1043,139
283,285
248,541
878,234
554,236
741,471
478,358
387,855
561,396
437,484
261,244
211,475
667,333
293,1023
635,303
390,375
924,736
521,363
1144,341
663,576
387,340
967,469
588,222
412,631
552,207
1594,443
715,664
559,205
565,335
914,562
768,361
1397,394
633,343
602,374
732,314
332,463
297,431
885,562
516,615
680,152
369,396
940,305
679,210
519,184
980,148
226,354
