Science and Engineering, Research and Development Investment by Country, million USD, t
Lakeview,Fairmont,Highvale,Ironwood
617,559,403,499
388,702,597,346
477,550,662,494
416,581,639,435
610,584,686,501
451,667,683,546
447,477,686,571
384,782,550,708
541,633,566,450
250,530,516,735
404,608,581,362
531,542,511,246
200,712,634,459
562,449,606,385
672,446,668,360
596,617,583,506
447,266,672,513
343,498,581,442
690,520,622,545
507,455,642,598
486,387,482,434
605,849,718,515
513,641,641,502
515,389,421,527
356,678,420,238
384,702,615,347
594,543,447,409
440,704,775,470
493,656,496,115
772,601,643,616
448,739,540,503
596,607,490,441
449,590,434,407
507,630,680,473
540,456,563,328
529,666,630,439
495,737,585,201
568,712,590,412
128,730,528,463
562,844,554,440
488,690,584,579
765,508,611,512
619,567,595,501
464,700,705,405
620,707,549,479
679,379,739,405
520,648,643,491
393,408,589,330
621,229,586,437
241,493,538,712
545,542,647,509
456,630,519,307
788,439,581,170
530,566,559,303
371,505,619,492
752,553,667,458
674,521,715,760
518,683,467,321
670,567,763,393
550,681,565,346
379,690,667,242
495,716,416,327
492,794,618,479
534,712,672,511
562,734,717,404
245,711,566,324
479,256,722,532
465,741,532,425
392,544,597,193
508,377,584,479
512,613,574,622
596,737,675,511
583,660,525,579
634,541,570,284
529,536,744,415
457,428,632,433
576,293,610,419
499,565,539,455
539,866,443,177
525,602,536,625
544,700,657,466
468,514,681,447
437,704,456,564
484,693,562,254
671,533,627,551
470,585,553,513
689,725,466,338
481,754,574,520
710,583,566,281
528,265,561,486
488,626,583,459
501,708,625,369
555,804,610,437
524,597,709,381
495,416,592,362
485,232,623,405
611,665,599,563
524,682,582,588
526,747,558,410
652,744,520,434
505,980,586,375
439,666,661,676
589,638,567,419
265,823,560,465
141,657,623,593
467,634,555,540
607,632,647,612
384,661,596,558
497,704,493,366
583,322,683,320
473,520,561,468
431,519,665,534
663,647,672,222
454,583,755,370
572,498,592,748
184,620,442,381
