Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
Videx,SceneX,Vido
9335,9138,19413
11234,12560,17635
15326,5895,29770
12940,6060,26262
19381,10333,18604
8712,7301,27785
30208,10836,27654
13786,8660,33164
11191,5061,20958
22421,4692,19280
16788,6876,18728
20924,5093,25369
30387,6355,26572
10449,10234,21427
16209,5065,28770
8697,10654,18830
8704,7747,21946
9646,7358,21025
15219,7484,20305
10953,4551,20516
9485,5992,35190
7712,7255,17669
10377,7503,15905
9544,6706,19127
6503,7365,20505
13657,4983,27896
7811,5621,27893
9342,5690,33381
7475,7789,29118
11329,8492,16590
27707,10172,22473
10017,4482,19787
23703,8855,20720
13197,16826,24380
13247,4824,18224
22309,10656,16237
19144,4277,21408
7608,6153,18238
11428,4776,25995
8464,10866,34568
6308,7262,18423
6470,12947,20142
10238,8671,30099
16274,5287,19411
7529,7262,19660
10455,4618,33908
7381,6747,18074
11647,5031,35994
9254,6892,25370
23785,5177,21512
17796,7248,22225
15246,6254,31194
12040,7290,27781
16480,4994,19119
6540,6047,28221
11499,4403,28331
19685,8341,24400
20294,8214,18699
9810,6065,21316
12477,5995,27341
13883,7129,20206
14591,7857,28264
22488,5526,24901
9148,5792,25627
6561,7782,20056
15008,7474,18167
11812,9914,16124
15257,8536,24378
25626,8012,18769
9566,5941,24356
18387,5881,34523
17787,13520,23978
19187,4966,16261
11976,4836,25523
7622,4335,33124
22018,8210,17982
8832,14084,25658
11515,4523,28176
15442,8156,30518
13162,4495,19348
8724,9303,16832
16273,6736,17042
17031,4821,23499
14510,5290,19934
18764,12028,37139
11588,5978,25902
7057,4444,20267
8509,8279,33239
16972,6810,23331
9598,10662,22789
15770,10570,21625
9961,8250,22867
7850,4132,27600
15333,4475,15467
16391,6145,21346
9411,5438,30064
12633,6688,29881
8685,4646,22489
13022,14112,18335
5622,6850,28579
7922,6990,17481
14938,11552,35053
15695,9601,21000
24667,6909,21163
8829,5232,17596
18305,5279,17727
7810,7159,25942
10123,5331,22914
12202,4556,30712
5523,5884,16395
7410,5020,23916
11787,13449,32774
6574,5894,19076
12339,7234,18212
17417,4369,28621
21329,10291,17291
31550,5297,25626
17509,5426,19000
