Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, t
Fading Light,Silent Echo
312,359
402,585
671,528
480,528
459,708
452,492
260,452
482,750
377,584
290,698
347,412
63,396
784,343
487,312
615,661
316,500
678,540
404,660
530,540
385,548
542,593
383,265
715,624
576,560
773,569
576,700
519,593
435,434
534,527
692,162
502,323
454,533
463,770
443,630
341,491
525,518
579,700
615,539
782,501
465,707
694,373
658,516
498,582
323,909
392,584
531,608
453,584
400,530
529,478
457,859
551,394
542,689
482,454
566,611
432,576
284,785
633,551
405,658
408,530
506,434
293,485
115,490
595,689
294,727
659,725
672,342
187,442
522,598
429,667
324,600
304,451
520,276
645,688
443,539
603,425
319,532
371,563
409,461
459,434
389,268
155,665
439,562
524,573
675,773
647,652
724,640
249,521
503,144
230,532
496,638
612,604
458,414
672,557
301,663
487,703
441,289
568,480
526,582
302,623
321,865
302,643
495,832
513,516
625,417
460,636
327,307
522,572
564,510
495,538
481,919
530,636
374,455
380,398
358,885
416,651
