Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, normal
Echoes,Fading Light
364,617
439,611
579,446
438,421
400,436
825,779
648,738
427,533
667,575
698,544
609,308
749,571
632,621
478,266
381,361
783,592
509,449
568,511
528,505
769,655
793,689
740,754
682,177
699,328
481,670
387,587
696,901
363,418
642,432
498,480
534,519
715,561
914,657
596,877
411,765
493,525
443,542
295,214
855,750
820,474
744,725
715,468
564,456
580,377
596,588
677,450
514,438
431,605
647,556
667,623
451,774
610,519
669,725
610,566
913,173
518,526
455,762
462,630
469,577
579,286
714,702
673,384
577,251
967,716
877,875
429,651
501,521
465,481
568,761
771,778
615,461
656,610
400,530
598,303
873,896
484,315
563,463
476,969
585,438
498,395
730,646
588,846
602,40
640,315
416,639
343,426
412,370
523,613
557,499
586,864
861,682
900,614
487,634
666,874
562,510
887,594
440,688
296,513
658,423
691,501
611,557
590,301
635,330
578,657
719,646
427,158
496,618
881,860
677,715
630,594
645,762
648,650
706,425
587,970
825,668
493,651
398,798
652,643
