Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, skewed
Sun Harbor,Dragon Ruins,Emerald Beach,Misty Trail
21670,5306,8915,10161
28460,23504,12662,9853
12833,4162,17351,6357
13356,10866,5632,11031
10231,3837,5942,5823
5068,13464,16632,16732
8291,13764,14823,13625
9444,20562,14992,15795
11249,11815,13004,7416
9884,11966,15714,12004
12495,5089,16642,11089
26824,16697,9623,10438
6177,13450,22815,5331
14531,8836,9943,17145
9869,15444,7834,24736
10467,14470,20095,7912
5901,5428,18942,13992
8294,21512,5060,18965
17490,29741,16168,21351
4884,6096,18643,7880
8873,5142,12924,9935
8771,5670,26979,5909
6184,5304,10150,16535
11687,12410,13190,6826
8096,10048,19254,12466
8255,4924,11427,29428
11117,17606,10734,6781
15327,9561,6289,10927
5702,3810,18254,11638
21547,7935,6755,4306
12748,12974,11160,7862
9900,10366,7437,11099
17209,9147,22922,12633
12664,11592,6025,30172
25780,10231,13155,6607
9129,9984,5369,8712
26143,5500,8370,16372
11828,14300,10480,7646
7833,7006,10460,3553
6788,8703,14497,12504
22214,13423,8845,5505
14233,3078,8717,31676
6198,6314,16155,9585
23375,18769,12969,7506
14453,6634,15889,16810
6890,13948,8342,25018
11828,9945,5371,6235
13384,18309,4520,6798
19753,7774,11817,14414
18852,7109,16938,9480
14531,5446,7906,24700
14694,4728,4195,9696
11172,19830,8567,13334
4095,11120,15994,12004
15571,7250,5255,10390
20611,7594,5493,9363
27919,5312,9272,25169
15364,4248,10111,36325
10099,7326,13386,4155
20413,5773,13189,6618
8513,19904,5702,4963
12469,16704,17069,8781
5195,3042,16253,4119
5334,8165,6696,15121
8572,7010,10795,16668
6981,4418,16042,5918
12365,15775,15777,15581
6566,23264,24874,7098
15781,5510,7028,9200
6029,4313,20658,13927
7659,11001,4461,8953
8277,10068,15234,25215
11627,14892,18440,4417
11737,9625,7248,12497
27166,13971,7246,4185
7358,8413,26979,12640
6696,16181,16827,15389
12543,11957,9003,7821
5208,10871,15650,8012
10082,7372,10420,10240
19734,10267,23826,11508
10039,17613,14842,9866
6805,37886,6618,13822
26389,9183,8772,4059
15183,7708,9352,11734
9259,6726,19387,15310
7949,5314,4131,17161
7994,16499,12085,5626
28828,22754,27856,9101
9383,5397,5874,15693
16014,7124,20177,10756
10363,10722,12474,8942
8212,26591,14588,9088
21862,3517,13907,6931
15652,16257,6571,8305
12984,20720,12160,16255
10037,5008,26263,5583
14978,3856,3704,18824
10051,3831,17395,9078
11185,15486,8283,10958
8449,9498,13736,5441
4567,5616,10539,11103
13635,9613,16725,5032
5444,6888,21813,11974
7962,20505,8316,6378
6012,16350,6523,4209
7962,7298,23681,11863
32306,7461,23036,10462
14987,10549,7728,5252
16774,26007,9156,7099
9705,4350,18006,13076
14776,16161,5635,5642
14975,18029,8376,9762
16297,7613,27645,9997
7186,10978,10869,6355
9149,7837,12274,12901
4787,13213,13590,7724
15336,9709,8171,6722
6985,7918,14434,12022
11880,11005,6547,5563
