Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Zephyr,Yorkton,Mapleton,Dunvale,Glenhaven,Elmhurst
44725,46450,39656,43263,51825,53276
53273,37383,43799,39392,45275,46978
42625,47663,44408,58579,44288,53616
37950,47143,52689,58236,70456,52598
32383,51877,43215,60581,39053,48311
39027,35348,50601,57367,47533,36878
52164,50363,43977,67705,44235,48267
35079,55798,47167,55210,51030,49628
39116,48056,39745,53163,50655,44659
42762,43173,60833,47945,49324,42251
55600,39950,32057,52166,46314,50133
34971,39428,45257,50994,51901,53649
49928,41334,36540,44288,48639,48937
39405,48651,47310,54504,50666,62267
36022,36379,53512,39479,35744,44211
56473,40377,48483,58931,44861,54783
44431,60408,45782,54751,67229,51259
35977,45905,60704,51643,43590,46121
51898,40700,38709,45059,58715,64537
53856,41310,51162,67349,49999,38266
55028,47487,57567,34467,64385,63276
36319,40192,58104,38811,46488,53364
49182,38028,56119,60073,56068,43108
45327,48412,51373,52379,50162,55383
51696,48049,41756,48008,46393,57954
56069,39777,43284,70006,49591,52213
48860,31571,55815,61282,57912,30446
36876,38957,49214,38642,48180,44030
40084,42312,53876,64593,41548,52753
40036,30931,51499,59097,48500,43413
50267,48298,49957,38932,38220,56833
46375,45908,54686,59325,46320,59669
61106,36391,49425,38547,39180,44448
39722,51082,50940,62804,39851,32619
36129,55383,47713,51227,41223,36655
51907,44691,57109,50020,51392,51147
41088,40614,53587,62527,68969,36917
44572,55508,43677,49820,34081,52828
42229,49555,43339,48364,60226,33756
47644,39387,49249,56301,41448,32805
54444,34551,55703,40816,59366,44519
48034,46486,56482,41025,48163,50065
34335,61186,44797,51385,60407,44925
54882,43736,43253,49497,51818,55361
47115,45669,49005,51126,53387,48640
35260,49005,53301,55022,57085,57200
39165,29673,52905,55330,58754,44698
51387,41868,55591,37617,64168,37334
63820,40736,44500,49526,56021,58182
37491,35226,59885,38093,42447,54978
44427,47582,38588,50957,40824,55202
56125,39089,48724,43557,48650,52954
40276,50741,50869,42343,45808,33463
52417,35850,45395,50299,43323,37448
50184,47765,53852,59297,49109,56665
42433,15156,43568,37075,41726,47627
47589,54410,51661,56253,48425,40918
30016,42027,45432,57335,48949,55889
56832,38088,55529,55369,45941,46373
57833,52398,47941,48040,38196,46607
51708,44783,60431,48338,45418,48888
47810,42178,42569,48915,52736,48801
34710,49095,40784,48036,41609,47245
38337,50273,47924,49452,39393,38163
43416,46750,46489,36073,60438,51294
59169,41299,47467,35286,38629,60205
46685,39728,63999,52433,35351,38109
46591,40328,50613,36277,58557,32816
55292,46629,52117,40227,58972,51217
45163,52445,56345,39684,52855,48643
41564,36807,52997,62780,38405,47211
50190,41554,47403,52781,29787,48372
52039,40051,40778,61848,36500,54165
54082,28272,54580,42812,46221,48496
47688,47106,51472,38465,59995,46210
42063,51345,46563,37412,43100,53322
50770,37489,48543,52011,63652,52617
45410,44834,42962,59425,58368,46978
50535,47112,34116,25237,38056,51623
33747,49295,43217,55732,47790,54472
52871,35994,31033,43389,23531,40082
55559,44855,62668,60297,46631,44774
46487,29402,51642,58303,36234,54318
49294,34425,47742,59091,45719,58690
46817,41280,58277,58869,40130,48782
36693,35184,57078,60845,45147,37452
35808,50729,58334,61616,47319,59125
48863,44375,40843,41991,60388,57766
68326,39768,55132,46527,41572,54495
46583,57219,31005,43248,57792,38884
58249,51401,58187,42950,51704,46101
61292,38945,53763,46669,51195,48536
57101,50521,47216,61145,65964,42053
62552,50644,47302,35825,31808,42878
48079,40356,47199,40895,43167,49635
39945,37606,46945,40496,38103,45721
54359,51736,60695,33571,51146,48353
40564,45202,47171,52769,60618,35439
45622,30310,45996,51098,56484,48954
56486,51975,38940,44248,44308,60230
41025,61733,46445,56098,48611,54662
48601,52413,55095,40703,42828,40814
42060,47571,69462,59077,47768,50743
38074,41032,49607,45068,54455,48632
42109,48524,40147,49413,58884,59936
38221,49550,55945,63900,33803,46360
41377,38781,47934,57804,64363,47585
41656,39654,42789,52725,61769,42983
32857,49472,45638,52767,46006,39580
52979,33322,31437,54220,29593,53486
45896,49627,45531,69271,54247,45822
42151,42639,57306,45003,34208,47386
47308,36686,57265,42203,55816,40141
34466,41693,27868,53024,35429,53434
57577,43507,44183,42031,24457,50611
45748,48421,36870,63007,53682,49203
55661,36377,46475,42557,55518,53277
45380,52354,50757,49942,48437,38638
31209,33693,50021,38872,42648,53301
38921,38956,58330,39274,54273,49056
