Education and Academics, Data on employment rates in different schools, %, t
Redwood Prep,Brookfield Academy,Meadowbrook High,Oakridge College,Lakewood Institute,Crestview High
69.1,82.5,85.57,92.97,89.81,86.79
88.83,84.91,82.18,89.18,87.54,80.81
80.07,88.41,84.1,91.8,86.01,90.97
82.83,92.1,84.07,87.29,100.29,86.16
83.9,92.72,83.19,91.22,89.18,80.15
80.64,89.77,83.98,91.16,87.96,84.58
80.46,90.0,83.85,90.13,89.76,80.06
76.81,90.48,82.4,86.81,85.52,82.75
68.58,82.37,76.55,90.86,90.99,80.12
86.47,87.11,79.7,84.56,87.67,84.75
81.53,87.68,78.88,88.9,85.35,78.4
87.74,83.32,85.86,88.97,91.4,81.07
82.99,93.95,86.55,84.08,89.12,80.36
85.27,91.65,80.49,92.73,85.37,86.15
85.89,89.73,81.45,93.76,96.41,86.72
86.34,87.38,80.7,90.41,86.51,82.05
76.63,86.93,80.1,89.61,86.5,79.84
78.93,86.2,82.07,87.67,85.66,75.35
84.43,88.83,79.75,91.67,87.46,83.71
83.41,91.94,83.6,91.48,88.04,95.39
83.18,90.01,87.39,92.57,87.74,83.69
99.44,90.27,80.24,92.33,87.9,91.48
82.36,83.13,79.64,92.61,90.78,88.24
72.52,87.62,76.19,91.98,90.93,87.0
81.63,87.55,81.57,89.96,82.17,82.21
75.98,89.21,82.39,90.01,87.89,86.13
78.85,86.62,87.51,87.18,85.9,82.94
83.46,91.49,81.54,93.83,87.45,78.17
81.3,87.15,78.09,88.42,92.48,86.82
82.89,86.9,84.5,88.34,83.81,82.37
80.24,86.68,83.18,93.7,85.14,83.47
74.75,97.19,86.5,92.06,87.73,85.76
77.14,87.13,85.94,94.33,84.47,81.43
82.67,88.39,78.8,93.94,82.42,92.29
78.81,81.0,82.5,100.23,90.97,82.34
77.72,87.99,87.81,94.25,90.88,76.68
83.54,92.5,75.28,89.45,83.96,78.76
77.93,88.06,89.51,88.58,87.28,80.9
82.9,89.67,79.95,94.37,88.22,89.72
95.35,85.64,79.93,80.79,83.63,82.58
75.72,86.66,85.94,90.92,90.37,84.41
85.5,87.84,80.48,97.81,87.7,81.71
79.75,84.79,86.03,92.96,77.7,81.62
80.65,86.89,79.87,86.43,86.86,80.7
79.78,84.38,82.67,89.25,84.38,84.34
78.91,88.36,82.17,88.02,86.76,80.55
75.06,87.77,81.22,93.7,87.32,84.06
83.5,92.19,85.0,89.92,94.77,88.82
92.05,101.03,83.43,89.64,86.67,89.35
84.25,87.07,79.51,92.87,87.66,80.45
75.9,85.24,83.41,87.47,93.01,85.36
83.23,95.15,85.04,90.06,94.74,78.64
84.82,94.21,80.07,90.95,84.76,79.99
88.93,86.55,82.72,91.96,87.75,83.99
80.91,94.51,83.42,80.98,88.55,83.92
90.43,86.43,81.62,91.77,90.8,83.49
63.81,83.13,82.05,88.75,88.79,85.31
84.8,86.59,77.64,89.22,88.71,84.45
82.75,87.37,79.08,89.59,87.65,81.71
93.06,89.61,81.07,93.77,87.2,83.43
80.83,93.83,80.77,91.29,88.8,87.14
86.79,89.8,79.73,85.34,87.03,83.97
79.07,92.61,82.32,86.28,83.46,77.64
82.92,88.56,82.14,91.73,83.01,84.94
82.42,90.77,84.27,86.89,86.55,76.57
81.8,92.03,80.51,90.34,87.11,75.48
73.77,88.46,84.9,97.47,83.31,90.73
83.27,82.73,81.03,88.12,88.41,83.77
78.04,89.67,83.45,93.66,84.87,85.62
80.28,90.18,88.18,88.87,90.76,88.41
89.92,93.78,85.18,89.89,87.13,92.99
78.58,91.75,79.31,94.17,84.53,82.04
82.53,89.5,85.81,90.93,90.76,85.11
81.58,90.38,81.17,93.23,92.16,86.56
83.08,87.23,83.64,89.0,85.58,79.35
87.36,89.17,81.27,91.51,86.0,80.27
83.77,91.64,84.54,90.62,87.99,77.39
84.12,85.08,87.13,93.63,85.43,83.45
82.41,87.9,82.82,89.25,87.51,79.56
81.89,92.28,79.98,85.92,87.7,84.49
82.2,85.39,85.79,87.11,86.33,81.21
84.82,83.94,86.09,93.21,86.71,81.87
75.2,91.79,83.1,85.81,86.35,83.09
79.65,94.88,76.28,93.59,87.86,78.34
79.36,90.06,78.54,88.89,84.05,87.62
72.53,86.26,85.86,86.67,88.19,85.1
84.23,87.7,81.66,98.99,89.06,87.98
82.0,94.62,82.63,91.89,87.03,83.27
