Education and Academics, Data on employment rates in different schools, %, skewed
Eastwood Prep,Greenwood Academy,Glenhaven Academy,Silverton High,Fairview School,Sunnyvale Prep,Maplewood School
88.93,84.42,113.73,87.42,85.35,75.86,74.45
81.82,81.57,94.21,88.16,76.28,88.84,81.11
93.77,80.52,94.16,88.05,74.43,92.2,83.0
77.06,78.14,75.83,74.91,89.77,77.38,73.21
91.82,73.26,84.32,88.1,83.49,83.41,73.85
80.32,77.97,98.58,74.71,80.74,88.54,80.83
96.41,95.02,83.79,80.06,85.82,90.66,89.04
92.87,93.61,94.69,74.55,81.29,81.96,81.37
81.45,77.21,122.53,75.58,77.38,76.67,80.22
83.88,105.29,87.13,88.93,83.18,100.27,85.92
86.15,79.86,88.17,73.73,79.63,118.53,91.46
101.34,91.82,88.72,79.14,90.67,76.94,79.16
80.0,78.59,94.4,83.81,82.16,99.06,75.72
92.93,84.09,77.32,85.27,76.18,77.7,82.45
104.53,83.43,79.31,80.99,91.9,75.88,76.07
91.3,107.15,82.88,95.86,94.68,81.44,72.71
115.35,84.18,106.43,80.83,74.05,81.48,76.49
82.5,78.34,84.81,90.35,77.59,78.95,72.39
84.26,90.49,82.43,89.73,92.62,85.5,79.37
96.95,85.36,85.02,89.84,84.36,83.7,87.57
101.57,89.38,86.98,80.3,104.75,87.37,74.89
85.45,73.65,83.05,75.51,82.36,79.18,77.7
88.85,73.67,87.23,77.46,94.94,79.73,79.12
90.17,80.95,82.22,83.55,78.94,83.86,79.71
92.45,91.86,100.56,106.97,93.05,81.52,83.45
80.8,89.72,87.77,77.85,85.06,94.86,74.77
83.7,80.83,90.43,94.78,73.18,76.94,72.13
86.49,82.66,80.37,90.44,80.87,77.35,70.91
95.25,92.94,88.17,78.72,83.22,93.82,75.11
113.78,78.45,87.54,104.65,75.12,88.91,77.88
89.14,76.5,94.79,80.67,77.23,79.22,73.72
84.0,72.79,85.51,93.81,80.57,77.85,77.5
98.65,73.25,87.62,95.81,86.23,76.01,77.91
81.17,75.73,90.29,77.65,87.33,93.91,76.29
85.97,81.18,85.41,79.32,78.67,78.38,76.09
93.28,83.81,87.14,96.23,73.04,85.84,78.87
99.24,78.4,88.83,78.42,85.28,83.22,76.22
78.04,91.73,79.47,93.17,82.95,83.1,78.87
88.18,81.77,82.35,76.19,74.75,87.24,77.7
88.94,79.48,80.16,80.57,86.05,82.59,82.03
85.43,76.14,83.13,81.2,91.12,88.59,81.58
90.41,83.09,90.45,78.62,80.03,86.22,77.21
86.99,74.22,78.19,87.04,73.5,82.33,77.91
86.14,89.49,90.97,79.28,73.79,96.32,73.89
82.67,80.19,90.4,80.46,86.0,76.16,74.46
98.97,76.99,93.64,73.7,81.3,78.41,73.08
81.06,91.32,89.88,111.2,77.17,94.23,77.89
97.8,76.01,102.79,97.38,81.64,85.06,73.13
90.92,78.37,75.38,80.74,86.09,77.4,77.47
86.47,84.73,85.91,76.79,85.46,84.17,75.47
81.19,76.84,82.16,82.45,81.87,83.75,77.68
81.74,88.37,101.33,91.65,84.89,88.1,83.69
98.84,79.48,83.69,73.29,91.76,82.83,71.48
101.79,72.75,85.72,98.22,78.36,110.29,72.72
94.43,82.46,77.22,78.41,82.26,85.22,77.21
81.08,76.65,91.27,74.66,92.44,87.67,88.74
