Education and Academics, Data on employment rates in different schools, %, t
Westport Academy,Crestview High,Brookfield Academy,Elmwood Prep,Silverton High
90.92,81.35,88.72,74.22,90.04
91.83,107.41,87.22,76.14,84.26
91.14,81.55,89.91,77.98,91.87
91.22,81.02,88.18,78.76,86.62
93.32,81.59,88.08,75.34,85.43
90.67,80.19,87.97,81.15,84.92
90.33,78.0,88.04,81.83,88.76
87.73,70.41,92.51,80.44,87.9
87.63,79.11,91.29,81.53,88.01
84.08,77.51,87.87,79.07,87.15
92.81,86.83,88.45,79.32,86.39
87.32,83.72,85.79,73.54,83.76
93.76,87.19,84.07,78.68,86.96
92.93,90.76,85.64,77.89,87.96
90.21,70.92,84.92,79.81,88.52
89.7,76.05,88.97,79.9,91.09
93.26,78.77,89.64,81.49,87.42
93.65,79.3,84.33,75.37,79.45
93.15,83.16,88.4,78.12,92.54
91.46,93.72,91.61,76.05,87.59
90.76,101.77,89.72,79.02,87.07
87.09,76.85,85.05,79.06,86.8
91.06,81.88,89.9,76.07,87.37
90.9,81.16,88.02,74.0,86.87
90.53,83.06,89.39,73.23,95.37
90.98,87.01,85.28,77.04,78.19
90.0,74.94,91.57,76.28,88.83
89.84,83.73,87.06,81.8,90.56
88.19,83.73,88.21,77.33,89.26
88.93,80.94,87.81,79.03,94.21
90.83,80.51,87.53,77.3,82.05
87.92,91.47,89.17,77.77,81.13
89.03,88.79,89.49,78.74,92.97
91.5,80.99,90.03,80.01,87.24
91.86,86.91,90.11,78.81,86.65
84.76,87.55,89.69,81.68,88.35
91.79,81.72,85.25,78.58,86.82
90.96,76.65,88.97,73.07,84.51
92.88,82.3,88.67,72.77,87.5
87.68,97.23,85.07,74.96,84.73
89.95,84.97,89.28,77.96,88.16
90.63,88.92,87.65,81.85,98.12
85.93,79.12,86.71,78.26,88.74
87.1,82.97,85.47,76.87,89.63
88.59,84.7,87.28,79.12,83.87
90.88,80.42,91.02,79.71,86.2
94.22,86.14,89.14,74.11,87.63
88.04,78.57,88.2,77.94,88.72
89.2,85.56,83.94,75.96,84.82
89.13,79.4,87.49,79.01,89.04
89.38,84.3,86.21,80.05,84.38
89.74,86.59,87.32,76.89,84.88
89.1,76.42,87.76,78.79,79.85
93.64,85.45,87.06,74.4,91.81
88.33,96.82,88.41,78.31,87.25
88.7,82.07,85.61,82.14,92.26
93.14,80.49,89.69,76.53,85.1
89.04,81.08,86.96,78.87,86.32
97.04,90.1,89.38,80.3,90.31
91.47,81.16,84.4,86.65,86.35
89.73,82.85,88.81,77.8,85.4
91.2,85.63,95.27,77.65,87.31
92.9,86.97,87.39,75.16,88.04
91.49,79.57,85.69,78.96,87.22
88.54,74.92,99.61,81.44,102.93
90.5,77.04,90.94,75.81,90.52
96.29,78.95,84.19,76.0,85.24
90.07,81.76,88.32,73.3,81.55
90.95,90.85,87.55,74.3,88.63
89.81,80.67,86.9,79.56,87.32
92.54,69.77,87.13,78.52,86.57
91.11,67.27,83.57,76.86,85.92
89.9,93.43,88.8,81.51,92.81
86.41,89.88,89.91,78.17,86.42
94.62,85.88,89.92,76.52,83.07
92.73,79.62,88.84,78.47,86.53
92.0,86.0,90.2,78.29,85.18
95.88,81.5,87.36,77.48,94.27
92.29,85.53,87.5,74.94,87.82
90.3,82.78,87.81,86.18,90.0
88.57,83.25,87.37,82.8,87.22
91.18,85.44,89.47,77.5,86.21
91.75,84.66,87.71,78.43,83.63
89.19,81.95,87.83,81.92,91.43
92.59,83.25,88.74,77.21,89.82
91.45,82.35,87.01,75.03,85.32
88.39,88.21,88.99,80.41,86.77
91.93,88.04,85.7,84.49,91.06
89.21,87.98,95.36,73.12,85.77
89.53,79.82,88.95,76.11,89.63
91.65,78.57,86.69,82.34,87.04
91.03,70.83,87.77,78.09,84.09
90.71,78.76,91.85,81.37,86.31
88.58,81.25,89.32,76.59,89.77
89.12,82.69,90.22,84.16,89.67
90.23,77.47,89.54,80.78,79.96
94.6,78.88,86.58,75.7,90.19
90.66,81.87,87.84,79.49,89.42
89.69,72.77,89.86,78.89,73.69
89.7,76.74,86.93,77.34,80.52
86.48,89.12,85.43,79.49,92.24
87.06,85.14,86.57,74.89,93.42
91.53,73.92,86.83,77.37,87.36
88.76,75.64,88.19,76.86,91.09
90.47,92.75,85.84,79.77,89.99
92.19,89.93,90.38,76.06,85.13
90.02,84.83,89.74,78.68,86.52
90.48,74.37,89.3,81.79,92.57
94.84,84.86,86.43,79.1,83.62
89.85,84.4,88.86,78.62,88.98
96.61,78.19,91.34,77.9,90.9
95.26,80.62,89.82,81.73,92.84
89.22,83.39,87.56,80.03,83.97
89.65,86.82,86.2,78.39,84.34
90.84,89.82,87.1,81.45,88.01
88.11,83.27,82.55,77.35,88.22
92.4,71.84,87.52,76.28,82.78
90.12,72.51,88.2,74.13,87.19
93.15,81.56,85.28,78.93,75.81
94.15,74.88,88.31,75.48,83.54
