Education and Academics, Data on employment rates in different schools, %, skewed
Fairview School,Crestview High
80.93,75.23
84.95,116.61
74.6,80.79
75.42,78.79
78.11,85.64
88.16,89.18
80.82,106.43
84.26,78.09
75.94,98.02
76.54,85.34
89.6,83.23
96.0,82.31
87.86,84.37
87.41,88.4
82.53,92.79
73.31,73.17
84.86,85.81
78.04,84.37
72.48,101.89
82.32,81.88
87.09,88.9
79.13,85.97
72.62,75.58
83.14,81.41
76.22,80.2
80.0,79.91
81.25,76.89
84.63,105.75
80.24,91.91
88.27,95.79
80.61,74.66
78.14,82.65
81.22,78.08
75.37,92.14
79.65,76.9
80.42,104.92
89.87,89.45
71.43,108.57
79.03,99.23
83.59,89.12
84.04,92.89
88.01,99.99
82.9,81.25
90.82,107.4
78.0,74.05
86.87,73.3
77.92,87.94
80.35,76.12
81.8,87.52
83.88,95.94
74.7,108.67
81.51,94.79
75.34,73.92
76.21,73.28
76.67,89.87
90.12,74.5
85.49,118.03
88.02,88.51
88.93,84.53
86.2,111.29
85.93,95.56
81.59,81.61
81.23,76.79
100.3,81.02
74.22,78.27
80.51,83.1
81.44,86.02
81.06,93.64
80.15,91.58
90.5,81.96
83.36,97.49
80.13,79.48
76.07,89.94
80.31,84.97
91.78,73.73
91.18,86.09
76.53,85.25
85.07,94.89
74.93,77.82
78.31,79.52
74.19,86.71
84.85,93.82
101.41,95.67
74.69,89.71
81.68,79.03
82.08,87.55
90.85,85.67
80.39,83.64
77.52,78.33
77.75,87.48
84.55,90.19
94.08,123.53
86.45,80.08
81.58,78.7
95.99,94.07
91.96,96.28
73.11,76.34
82.54,81.03
83.37,82.13
73.81,73.88
79.88,98.47
79.52,85.56
71.73,86.49
79.42,78.24
95.58,81.15
83.72,78.34
85.24,82.15
75.33,72.65
80.64,85.31
76.46,90.66
76.03,81.99
77.56,88.97
88.76,85.44
89.12,87.2
92.0,75.0
94.67,76.17
86.94,81.62
85.52,75.88
92.5,91.18
88.3,92.43
