Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Quarryville,Northgate,Oakridge,Brookfield,Rosewood,Ashford,Dunvale
3630,3331,5169,5410,2039,5744,2385
3840,3707,5485,5143,1876,5470,1820
3137,3442,5233,5377,2074,5867,2376
3226,3374,5572,4982,2261,5853,2378
3445,3597,4826,5231,2104,6096,2280
3331,3387,5821,5395,2084,6073,1960
3123,3368,5258,5481,2196,5887,2140
3584,3278,5740,4861,2538,5723,2623
3168,3171,4710,5265,1938,5484,1972
3454,3314,5548,4974,2175,6072,1989
3147,3266,5365,5743,2261,6261,2429
3880,3444,5435,5257,1979,5766,2366
3370,3386,5629,5460,2299,6131,2256
2868,3831,5508,5309,2073,5662,2367
3275,3741,4586,5335,2137,5721,2129
3221,3114,5308,5283,2425,5641,2324
3255,3425,5503,5456,2589,5933,2308
3949,3008,5565,5452,2027,6212,2234
3061,3586,5567,5409,2610,5883,1863
2975,3086,5070,5721,2117,6109,2136
3713,3232,5335,5431,2280,5933,2427
3387,2715,5707,5288,2197,5892,2014
3055,3776,5408,5368,1775,5978,2185
3022,3377,5683,5486,1761,5820,2246
3224,3222,5323,5348,2449,5826,2211
3801,3612,5429,5451,1588,5738,1928
3620,3555,5475,5297,2025,6026,2687
3118,3471,4524,5203,2327,5740,2296
2972,3223,5988,5369,2403,5851,2380
2995,3071,5903,5526,2229,5859,2296
3663,3366,5181,5271,1787,5760,2188
3552,3367,5266,4998,2011,5754,2187
2866,3530,5693,5229,1895,5849,2101
3222,2982,5389,5287,2054,5845,2036
3318,2815,5845,4856,1798,5598,1765
3324,3121,5464,5245,2002,6147,2435
3410,3357,4779,5557,2015,6080,2249
3449,3349,5472,5495,2372,6014,1943
2878,3160,5293,5355,1885,6080,2213
3654,3156,5376,5354,1832,5869,2161
3604,3541,5517,5301,2357,5876,2141
3171,2900,5833,5413,2087,6110,2396
3213,3015,5592,5448,1508,5807,2333
3410,3609,5154,5404,1877,5648,2432
3305,3163,5519,5438,2408,6063,2218
3256,3324,5701,5198,2218,5733,2006
3613,3363,5378,5042,2282,5920,2074
2952,3257,5345,5293,2139,5760,2449
3512,3585,5705,5642,2107,6004,2085
3736,3269,5375,5406,2343,5889,2650
3497,3702,5256,5509,1805,5890,2349
3317,3484,4823,5233,2197,5968,2155
3506,3442,5575,5568,2185,6053,2351
3453,3454,5651,5343,2286,6174,1808
3718,3337,5298,5448,2378,5451,2141
2911,3497,4802,5305,2057,5540,2206
3348,3440,6033,5393,2111,5776,2550
3268,3240,5070,5348,2218,5984,2152
3291,3401,4865,5189,1587,5926,2253
3405,3666,4881,4840,1921,5984,2393
2924,3215,5545,5706,2022,5698,1490
3025,3378,6194,5451,2008,5810,2001
3331,2963,4877,5398,2242,6061,1945
3859,3124,5606,5464,2217,5942,2189
3479,3285,5701,5455,2174,5734,2334
3402,2772,6006,5324,2087,5733,2372
3683,3394,5748,4890,2458,5838,2606
3427,3412,5706,5191,2279,5928,1956
2823,3400,5467,5645,2420,5708,2020
3171,2538,5349,5142,1949,5966,2231
3382,3495,5249,5133,2002,5935,2366
3671,3106,5534,5473,1726,6032,2183
3309,3219,5226,5723,1962,6089,2801
3369,3107,5496,5157,2181,6041,2369
3064,3307,4690,5583,1779,5892,2157
3052,2938,5260,5413,2303,5785,2287
3142,3407,5575,5634,2565,6067,2281
3246,2999,5429,5393,2053,6018,2204
3605,3553,5305,5573,2109,5954,2245
3264,3336,5393,5444,2213,6155,1892
3388,3430,5232,5290,2486,6003,2327
3061,3282,5845,5664,2278,5866,1858
3377,3436,5553,5374,2079,6089,2035
3426,3330,5465,5360,1813,5791,2036
3216,3292,5680,5321,2309,5900,2272
3169,3465,5484,5300,2245,5956,2075
3097,3115,5403,5293,1951,5775,2750
3256,3277,5493,5346,2445,5878,1838
3289,3067,5864,5313,1923,6060,2346
3725,2856,5543,5508,1659,5799,2040
3367,3076,5602,5450,2261,5763,2140
3392,3100,5161,5542,2152,5937,2679
3102,3189,4854,5593,2610,5574,1947
3886,3091,5362,5318,2293,5976,2375
3496,3127,5324,5441,2334,5862,2205
3031,3273,5121,5342,2560,6033,1867
3399,3374,5385,5449,2199,5915,1965
3417,3378,5478,5384,2258,6005,2318
3243,2417,5601,5105,2535,5938,2619
3333,3358,5921,5567,2549,5963,1878
3120,3646,5714,5500,2263,5785,1970
3263,3624,5568,5201,2210,5784,2591
3663,3071,5550,5544,2147,5898,2183
3068,3564,5439,5312,1943,6010,2376
3791,3482,5520,5282,2106,5868,2331
3744,3415,5897,5167,1907,5596,2196
3631,3162,5197,5284,2286,5903,2413
2722,3328,4932,5376,2590,5859,2261
3096,3325,5735,5386,2223,5704,1879
3127,3341,5862,5539,2426,5766,2130
3150,3058,5668,5381,2147,5878,2207
3242,3137,5441,5178,1847,6091,2030
3771,3163,5691,5284,2430,6153,1835
3438,3071,5314,5067,2081,6387,1919
3516,3118,5795,5259,2427,5796,1906
2913,3342,5823,5341,2447,6366,2315
3276,3408,5894,5639,1927,6530,2000
2865,3062,5181,5371,2445,6037,1796
