Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Fairmont,Brookfield,Elmhurst
4615,3454,3160
4669,3343,4126
4313,3199,4177
5169,3226,4057
4997,3724,3483
5051,3457,3977
4847,3273,4255
4382,3477,4023
4559,3687,3917
4837,2923,3750
4232,3005,4426
4421,3519,4409
4449,3367,3701
4321,3316,4126
4459,3496,3775
4576,3192,4440
4434,3516,3832
4638,3543,3045
4598,2740,4184
4735,3282,4223
4796,3397,3836
4272,3721,3668
4880,3212,3281
4605,3390,3799
4896,3353,3694
4603,3441,3649
4484,3361,3664
4297,3435,3802
4737,3556,3853
4413,3513,4016
3955,3357,3495
4171,3735,3227
4224,3536,3742
4702,3205,3845
4166,3567,3915
4552,3086,3196
4886,3717,3835
4550,3013,3519
4265,3519,3102
4455,3546,3797
4797,3436,4077
4483,3198,4184
4438,2989,3973
4872,3388,4275
4508,3633,3751
4548,3460,3791
4903,3170,3607
4826,3330,3340
5261,3376,4383
4219,3626,3737
4399,3361,3537
4705,3336,3849
4910,3457,3584
4481,3418,3746
4720,3594,3455
4651,3479,3672
4737,3353,3751
4773,3392,3693
4388,2743,3938
4753,3223,3535
3947,3221,4352
4840,3569,4220
4190,3469,3514
4918,3516,3720
4380,3312,4070
4223,3291,4505
4631,3817,3734
4610,3155,3932
4696,3452,4156
4151,3463,3616
4994,3534,3736
4692,3403,2727
4429,3050,3680
4523,3322,3971
3919,3389,3828
4734,3056,3643
4433,3289,3791
4385,3304,3669
4608,3552,3687
5046,3170,3586
4644,3545,3840
5065,3343,4286
4653,3799,3627
4258,3497,3334
4747,3105,3676
4520,3052,3376
4413,3320,3682
4405,3843,4103
4564,3647,3877
4516,3211,3377
4766,3498,3802
4704,3036,4155
4429,3326,3243
5038,3017,4106
4812,3522,4057
4447,3138,3997
4541,3430,3746
4900,3421,3469
4651,3489,3854
4728,3663,4018
4836,3228,3640
4575,3072,4100
4675,3383,3863
4653,3269,3845
4006,3385,3644
4312,3799,4162
4728,3556,3893
4526,3644,4322
4941,3462,3209
4752,3442,3866
4724,3498,3112
4800,3601,4039
4446,3383,4173
4747,3260,3002
4505,3566,2694
4819,3461,4035
4630,3226,3865
4526,3382,3547
