Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, normal
Dessert Cafes,Mexican Restaurants
489,1045
651,602
644,716
383,612
630,690
619,881
534,574
482,633
698,784
383,790
410,156
869,800
322,610
504,317
544,515
609,583
749,662
528,501
790,707
706,522
282,636
427,577
647,809
493,565
571,445
752,638
687,366
504,421
371,432
458,428
646,755
767,830
559,414
669,664
691,277
606,524
416,782
84,723
749,626
1005,734
480,69
648,540
731,386
583,811
511,431
731,563
575,426
258,444
754,720
334,730
595,641
383,436
384,594
360,674
735,917
515,700
397,366
790,764
868,320
853,661
661,699
635,748
493,602
512,278
753,449
579,619
800,640
530,575
800,562
623,958
742,541
653,759
564,575
474,340
750,543
320,719
608,525
603,265
627,657
696,491
579,596
589,396
397,585
538,482
834,431
666,533
292,677
573,963
573,508
648,710
548,589
151,846
330,957
688,500
895,872
837,633
688,718
506,826
521,779
179,540
741,477
662,801
586,590
380,741
747,791
710,776
655,652
921,507
491,736
569,614
870,765
802,534
802,650
474,186
784,574
686,978
581,553
208,196
