Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, t
Hemp,Rye,Wheat,Potatoes
7919,4855,7413,6421
7109,5660,7308,7428
8124,5596,7196,6202
8101,5033,7424,6806
7400,5106,6668,7311
7993,5219,7118,7139
8169,5747,6703,8008
8295,5587,7303,7522
7287,5374,6753,7952
7163,5459,7303,7796
7706,5264,7088,7372
7720,5790,7907,6118
6795,5627,7216,7240
7962,5683,7991,6028
7035,5507,8695,7183
7649,5293,6707,8116
8174,5215,7199,7059
7053,5635,7335,7431
8170,5602,7151,6967
7958,5920,8124,7168
6948,5714,6665,7726
7726,5217,6774,6654
7513,6036,7331,7186
7978,5681,7771,7775
7737,5434,7089,7780
8010,5596,7767,6880
7871,5454,7247,7385
7537,5469,7120,7153
8020,5525,8021,7123
7548,5942,6906,7902
7947,5712,8038,7173
7470,4690,7353,7863
7460,4250,7151,7468
8037,5097,7266,7341
7812,5008,7986,7076
7253,5513,6763,8109
7183,5172,7025,7277
7307,4910,6923,7431
7217,6563,6742,7097
6966,5814,5962,7000
7194,6471,7702,7577
7198,5017,7347,7258
7372,5804,6914,6527
6595,5716,7097,7362
7430,5518,6972,6548
8479,5629,5868,7398
8654,5798,6987,6840
7306,5085,7669,7984
7808,6265,6818,7470
7730,5188,6929,6795
8325,5688,8558,6607
7477,5877,7227,6940
7802,6028,6179,7677
7774,5312,7231,7423
8433,5244,6975,7019
8252,4999,7365,7268
7693,5493,7355,5845
7845,5487,6805,6599
7400,3959,6949,7151
7159,5360,7051,6727
7940,6470,7668,7564
7499,5408,7972,7163
8402,5240,7303,6563
6464,5606,7952,7495
7694,5562,7772,7809
8623,5889,6939,6521
7685,4979,7551,8124
7786,6470,6967,6615
5950,5460,6837,8051
4373,6748,7348,7509
7304,5695,8750,7288
7135,5343,7171,7045
6689,5987,6893,6732
7896,5528,7720,6784
7174,5398,6600,7961
7396,5295,7347,6044
6841,5386,6863,7003
6892,6124,7168,7523
6779,5240,5716,7295
7172,5476,7489,7578
7612,5289,7382,7132
7727,5577,7348,7363
7367,4896,7357,7781
7642,3866,4909,9254
6727,5274,7106,6911
7977,5588,7187,7577
7055,5832,7157,7816
7451,3111,7082,7724
6579,5952,6354,7367
7418,5104,7284,6606
7425,5507,8115,8037
7178,5354,7961,8056
7344,4807,8534,8881
7122,5520,7290,7701
7419,5206,7176,7731
7456,5756,6345,6938
7883,5854,7246,8157
7797,5266,7062,7371
8388,5571,6871,6320
7672,5056,6727,7969
8469,5785,7545,7531
7332,5490,6619,6989
7262,5392,5869,8567
7744,5496,7392,5121
7436,5637,7291,7460
7397,5716,6974,7727
7747,5603,6677,7286
7644,5263,7531,6763
7903,5257,7605,7896
7921,5105,8300,6836
7622,5162,6756,7116
8059,5358,7362,6714
6903,5604,6952,7684
8062,5565,6671,6869
7751,5341,7244,6852
7135,5988,6893,8086
6542,5236,7427,7106
8394,5301,7110,3820
