Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, t
Pinehaven,Yorkton,Glenhaven,Elmhurst,Mapleton,Northgate
1244,1124,68,951,1374,950
1675,895,1505,908,898,1454
1588,1018,1102,860,1591,36
1205,1014,462,1043,1886,956
1105,177,408,1181,1006,873
1247,1249,907,972,1132,584
1378,1098,1421,844,1531,326
862,804,983,970,1943,815
1124,947,505,1264,820,467
905,1011,150,1046,1616,945
877,1368,1083,1170,624,706
155,569,531,910,640,1265
1191,603,1160,827,1045,963
1230,732,885,1255,1145,686
1687,1086,974,780,744,1287
1426,587,1164,1116,1025,760
1022,1491,710,1220,1508,340
1124,818,585,1616,1228,1310
865,916,1046,850,1169,695
1023,776,429,1214,1369,1096
1168,560,849,970,258,947
1979,935,884,1277,766,1190
1180,815,741,1008,1243,872
1346,861,425,958,328,524
1199,1410,612,1026,1238,737
1957,1177,638,613,2141,1006
677,1455,491,874,1018,851
1361,710,616,1088,278,221
1783,1008,833,1157,1070,962
1072,891,813,886,1185,1598
1134,1376,474,1148,1434,532
1098,634,606,1244,648,948
1242,1316,1546,811,1201,1158
1339,1635,663,1229,1551,800
876,637,582,174,1134,835
1283,627,407,1132,1082,1339
1526,958,597,1275,953,436
1064,1279,69,1017,1801,670
1244,871,1665,875,840,570
1500,971,1085,1169,1161,1472
1357,1028,107,598,873,1216
1087,1596,1058,889,1199,750
1169,958,980,1235,1412,624
1307,978,108,1070,59,775
1654,885,845,983,1063,833
1193,846,156,1515,398,780
975,1213,775,1436,277,895
1549,934,1031,1330,1186,782
1522,1521,729,872,1411,1482
1073,1044,639,1008,334,1086
895,1417,508,1215,491,313
649,522,818,939,1258,630
927,930,1009,959,2930,929
883,1037,762,1585,1126,707
303,1135,506,953,1059,848
950,737,1333,1346,884,799
1171,1011,719,1212,772,816
966,1657,155,899,757,933
736,1185,1157,1031,871,780
755,1069,573,1174,182,1633
1011,556,696,1050,728,582
650,581,628,1116,349,890
1053,677,1252,438,371,1458
1082,1047,1217,1101,1600,1132
889,550,559,1246,870,1031
1203,1195,238,1452,1031,1304
1365,1083,379,869,1009,748
1737,1204,807,649,1062,988
1982,1263,826,1083,1264,1195
1494,1156,370,807,708,559
644,910,517,926,1133,601
1472,1006,868,1068,925,336
971,1217,293,929,1220,1248
409,579,424,1131,649,995
1994,351,1083,1385,1132,1034
865,738,657,1097,959,932
60,1285,951,786,887,977
1758,1088,810,460,584,781
1133,865,912,1091,412,904
1199,1090,1133,1050,670,287
1413,824,822,940,1256,1224
1293,836,660,1046,1284,861
1296,626,653,804,1332,866
746,1109,771,983,909,1004
1625,1090,1010,1303,1270,638
1125,980,339,897,1169,1108
1560,789,1247,1242,1043,944
1192,865,831,693,376,179
17,1205,1154,753,1414,377
1134,642,308,549,814,940
911,788,846,1238,943,1004
1105,1279,542,1176,1036,802
1304,1360,840,956,969,1107
724,538,630,457,1947,883
1247,1130,306,1264,323,422
1545,803,513,863,858,792
810,1102,313,814,1678,740
1156,1164,651,850,281,1153
1240,520,529,1522,1214,1261
1006,897,342,932,1029,495
1117,1068,1398,710,727,18
1490,1136,299,944,1290,880
856,495,826,1033,646,1059
1689,1399,641,917,1368,440
1437,605,587,1501,896,1545
1080,650,339,941,775,1501
1731,802,288,1420,1235,775
1067,845,890,1064,1104,914
772,657,1715,1188,545,813
1796,970,1031,1055,470,1032
1071,669,912,705,1061,1270
