Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Creston,Highvale,Springfield,Pinehaven,Mapleton,Ironwood,Oakridge
1263,1328,800,1159,830,817,1164
1459,633,890,944,893,107,1073
925,962,554,934,650,423,676
1134,1189,1222,1213,822,1276,1219
1010,619,624,198,825,613,536
1050,552,989,787,637,1021,742
621,982,920,1477,615,1047,688
1044,1399,798,1379,674,1046,463
1165,896,993,813,324,1115,1189
1264,1172,344,1474,851,509,1270
1260,566,889,1025,776,1292,483
766,930,1229,1201,1034,521,1094
836,1144,295,971,716,148,841
961,727,871,792,672,676,493
740,1039,580,616,556,1228,624
1325,849,798,669,823,1054,549
1442,655,275,699,425,596,633
673,1035,1318,1308,726,910,1238
908,1343,1181,1512,1001,875,345
1339,474,734,907,221,548,588
1071,1212,936,1041,674,1339,586
967,949,787,411,693,528,1190
1306,1463,996,1177,528,1373,62
983,1163,771,613,587,1161,777
1047,629,494,885,654,490,614
1041,1154,526,827,866,1271,1021
1280,645,1050,1594,895,1062,766
923,925,760,667,607,1146,485
551,882,869,946,422,443,185
1258,1160,538,709,844,349,775
969,731,1021,1227,516,305,851
928,953,1027,1425,634,276,1356
1109,667,808,1429,881,1125,1228
1457,868,754,805,913,741,942
1253,1076,584,690,479,730,1468
1008,1043,949,950,529,943,1419
860,1155,592,682,785,1114,612
1273,986,986,799,689,1459,1240
1109,850,693,1317,687,621,561
834,1217,459,849,717,807,270
1191,538,735,1040,720,774,754
1084,1207,685,1068,892,1067,317
1229,829,392,1122,849,855,1051
1446,955,918,1007,1096,769,709
1138,1004,780,1147,863,1047,851
1048,723,1190,1397,968,682,746
702,1157,971,605,783,465,1347
1278,922,760,1154,716,1411,491
1099,766,556,1224,581,963,883
847,639,615,965,731,1011,767
1265,873,993,616,554,488,1044
1321,413,1045,1345,396,777,631
868,497,1344,1066,551,482,1064
1310,910,958,983,499,1334,904
1231,1173,357,1000,657,1320,554
1149,262,782,1374,778,861,162
805,890,826,662,807,469,585
1344,741,626,648,464,149,923
1059,250,356,485,564,861,950
582,578,761,748,585,814,298
1131,1079,937,1044,1072,642,1234
981,624,685,892,768,941,675
1338,781,930,1320,937,1103,742
1006,562,812,1419,628,1045,583
1424,573,1012,1116,830,273,606
893,935,1030,1217,1181,575,647
1270,1118,809,1279,709,541,515
1121,778,1260,372,615,811,1277
1293,1247,507,1041,659,440,1260
893,697,504,1202,708,733,521
1134,839,1070,872,676,550,973
1110,880,595,952,1005,866,343
508,560,365,1164,741,1224,974
711,791,958,1217,1029,256,1209
939,771,748,811,530,1014,417
969,1177,651,291,969,407,1305
979,1225,1136,778,445,1280,461
1220,1274,277,675,497,315,795
1362,498,726,1255,1072,679,926
964,472,486,1151,818,1047,183
1174,577,965,1117,554,1278,445
800,992,1110,1139,479,1002,759
829,664,788,1158,965,891,970
966,1374,43,860,951,973,661
1277,776,481,1231,636,475,875
1146,1073,497,473,1083,765,477
871,1137,475,1540,627,635,454
1172,1275,467,444,384,1372,1017
1164,707,288,853,1028,1042,1128
876,689,1339,1166,1110,311,988
1026,704,1295,1239,732,887,878
1035,530,1247,1544,620,1380,315
1197,959,371,644,766,789,545
763,1153,888,1422,1004,810,433
1173,140,795,1061,851,1134,943
1010,799,659,1042,817,983,1284
1056,970,784,1091,950,793,1176
978,698,709,557,514,707,1121
1065,806,900,591,600,757,508
1384,1454,585,1441,805,353,738
677,437,625,852,566,1003,719
1159,1045,884,1285,1055,1078,314
905,627,708,1189,969,913,542
779,487,1128,1042,965,1368,806
1478,1389,384,1482,731,1171,488
1220,922,700,1010,524,1418,575
1158,615,632,812,619,599,733
875,1207,444,824,613,792,942
1170,865,900,1043,704,1271,688
827,512,252,977,1025,922,169
1077,383,894,152,331,606,272
888,929,866,926,774,974,1002
1032,1197,1100,377,751,475,444
1361,836,488,971,945,639,407
978,1219,717,624,260,963,1010
