Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, skewed
Yorkton,Creston,Rosewood,Elmhurst
1131,967,1352,796
940,1110,972,1009
1135,1225,1675,852
881,1691,1048,2418
972,1341,970,997
1896,908,1695,833
1410,1247,1082,895
878,1031,1114,1114
1320,1129,1048,988
1084,927,1475,1131
1254,1121,1336,1214
1188,893,1190,1193
1176,1481,988,846
1219,1169,1183,1185
1095,1137,995,954
1535,837,1038,799
1154,1184,1162,1145
1167,1093,1283,1157
1082,1385,912,999
1265,868,1032,1435
888,868,1027,1643
778,1455,1549,1166
1280,1376,1805,921
869,901,1121,1037
813,1120,1219,847
956,866,1166,1400
866,1224,974,1195
852,1229,1584,1464
1909,1303,1116,1528
904,1087,1021,1213
845,1105,1579,925
1119,1086,1079,1446
1120,1411,1069,1122
1053,1039,1086,1072
1105,1312,1205,2177
1009,1769,1337,1222
903,1008,1154,1608
1188,1638,970,1264
916,1150,1056,916
1674,1066,1030,1011
885,1596,1227,909
947,889,956,1100
1020,1189,1204,1913
807,1520,1073,1792
1084,1523,991,1398
1037,1019,1110,1313
1027,847,1390,1045
1365,1036,939,1145
1454,938,1027,1047
1517,1433,1008,1135
899,960,1327,880
816,1324,1138,1194
1065,988,1658,1277
1094,2102,1008,1240
1163,1113,1241,1183
846,1071,1234,1247
1059,1165,1357,1207
979,1077,1072,1214
1649,1157,1532,1157
1032,986,989,1196
857,983,1042,1540
1227,1125,1085,1279
1157,1522,1144,1315
1041,1008,1667,989
1143,982,1235,953
998,912,1162,846
1098,1323,986,961
847,1062,1189,1285
1333,1025,1135,1097
1618,948,1293,974
1073,1262,1352,1518
1018,1066,1093,929
1276,937,982,1423
1024,1032,1080,1247
1081,891,1465,1948
1398,1209,1717,1167
1299,1224,1213,914
1125,1548,1002,946
1162,1001,1337,1786
930,1307,1003,950
1740,1073,1191,890
1178,1198,1304,1127
1115,1262,1807,1172
1347,970,1192,839
1579,1464,1071,924
1316,1081,1075,1822
1076,1076,1100,934
980,1416,1002,1235
951,992,1418,884
992,1419,1079,1546
1388,1317,1258,1132
1701,1094,955,1072
1054,1073,1231,1173
1331,1040,1017,1510
1288,990,1608,1543
1412,914,1144,1135
1815,1307,1250,895
1903,961,1221,1398
1345,1369,930,1129
1040,1089,1551,846
1023,1178,1248,1562
1506,1480,1162,1691
1012,1132,1085,1660
1043,917,1083,1006
1010,1015,958,1034
813,1453,1361,875
851,916,1337,1097
1224,1113,1150,1846
935,1222,1171,794
1662,968,1223,1131
944,1235,1170,1175
961,869,1000,1089
1007,1573,1092,814
1808,881,1417,1115
838,1090,1327,847
1108,1381,1159,1006
1311,1686,1529,1191
1051,996,1255,1535
