Human Resources and Employee Management, Salary of Employees in Different Cities, USD, t
Northgate,Dunvale,Zephyr,Glenhaven,Creston
45160,41007,57391,5730,23384
50153,60737,60605,37157,71021
5856,89054,45295,33022,66048
37077,80984,42148,32576,13731
37369,60972,56259,33046,50599
76437,41432,64253,47144,36438
36549,75892,46740,30872,13110
69940,21911,51041,32936,8274
32858,45594,29153,37638,43477
48953,47712,68245,40548,37497
62788,49589,60520,40030,55207
61269,61485,43579,46854,44210
77244,44134,55007,45920,44797
43448,55621,70552,57539,18981
51855,22052,14117,39256,29162
66051,41688,51197,35177,76586
73259,85908,30849,27762,72008
22369,54787,20469,45554,5178
59653,84556,40943,39794,59576
3294,61186,84897,46846,33804
29883,51896,52314,43906,64585
75103,69151,83995,34473,43223
45121,34246,42579,42594,53709
32935,66974,45563,46865,22947
64954,52381,57490,32986,24180
28861,35724,32225,48018,37251
47697,52918,47423,43257,52333
54504,81511,100211,54575,7176
45933,72211,41630,30658,42579
60917,39981,45684,35023,54195
36504,18931,57043,62251,54346
30441,15730,72717,51720,43387
53093,83092,105291,38042,19547
73841,54159,83428,40749,49275
23192,57718,55387,41763,24767
48694,31557,34719,44180,7528
48387,57491,51691,34481,78718
25881,41898,45899,40057,62615
82995,18671,41696,44441,40295
35983,68634,36995,53058,22509
29709,61696,31905,41741,2793
42044,52102,33718,23676,45401
24139,73452,41355,30381,53150
24326,27788,36021,49980,43178
33276,17551,66726,44557,66233
40605,80867,38352,28861,55353
71579,60103,45172,48474,66881
28216,47698,49807,49364,57061
38277,50349,56054,34225,8529
71183,79720,41543,43059,24674
17540,48602,60914,55072,21794
56419,70448,55043,31870,50792
21309,80067,81363,40787,52647
42749,29895,52967,42986,51370
38137,41588,46469,54240,35405
53611,47337,59604,30440,32862
53590,71957,47013,44221,49325
52611,64869,64901,39920,66921
50674,50645,48176,57281,37914
79363,45466,58983,27555,45793
19501,59489,48971,26700,56919
35347,21152,49288,30715,63393
34180,75741,81730,59137,34612
29421,33390,76606,43341,37297
49917,56258,67237,48184,39663
29048,52642,68645,54866,47940
56018,33488,75848,29402,46327
41449,60243,66096,21305,44981
42040,56169,52440,25880,35725
49941,65522,43865,39080,29972
57298,54416,62057,40229,66058
31621,70869,45094,39633,41909
62359,57112,46227,32924,50813
40162,70123,6734,34357,61733
69235,64298,64852,47351,58741
28462,37508,56837,28699,45546
54664,50584,58874,31913,38041
33343,64316,83837,47640,43185
44762,59453,60867,44228,43110
43097,65372,58513,65005,62552
41567,58030,26747,38617,72707
46828,61466,96014,29759,62309
38242,38231,55193,40651,49664
43630,58739,38138,41587,61050
48736,54315,57726,37849,28701
60670,54068,59850,38952,78678
48751,70532,57794,37785,26990
56985,30343,18594,43918,45777
57240,40353,41155,32285,30911
30517,59586,63006,34498,21832
42080,43682,48967,47335,74969
28870,38108,45522,51093,29714
30516,66447,63002,26654,54365
42863,57610,38859,32046,3020
54651,74395,57462,51157,44167
38745,68854,52854,44376,19274
45774,57387,21317,42552,45755
49492,27115,60157,60480,41062
42359,52517,58862,59125,36758
29936,55206,44963,22490,30392
55063,30396,39801,47290,18954
11360,66678,73046,36627,64708
77570,72928,46580,46024,41063
43404,26788,76362,32403,36239
49787,39364,21750,55205,45986
59576,45143,51198,58581,50424
52245,49694,76567,45837,37185
33825,71509,62400,50274,41317
3309,73708,11725,44261,35629
40596,72810,33382,52331,85324
39938,68928,47773,27750,42763
33630,63022,56143,44850,57435
40560,66597,60605,45847,27227
38057,29196,48424,41697,66288
48584,43397,74318,42639,44605
47728,59614,13127,35160,47701
70824,59114,46203,69608,50332
