Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Zephyr,Oakridge,Lakeview,Elmhurst,Northgate
45592,46990,54472,78270,50723
58568,29061,76043,77933,47044
59666,61937,81634,80853,45665
28973,124385,37094,28999,83865
51413,51854,52572,47127,51932
26421,54438,34550,27116,58151
67685,26432,61276,24445,85278
69584,44667,44609,54204,90670
30165,36304,50308,27418,63243
81243,22390,62130,21655,96886
32311,22710,38569,36047,68055
36075,40916,72890,62779,44913
31798,38848,58637,40161,32219
65807,36517,51719,28437,45311
69170,126954,84343,26696,50651
56282,36406,44396,37994,83520
55496,33123,52090,68154,50899
27502,85523,90525,26781,74075
28674,41202,66149,40552,39294
47022,25404,81834,55179,47321
66774,55693,41625,43581,96245
33367,31759,30886,35583,49125
50373,53857,70074,55438,46372
78660,87484,40542,71000,50966
50264,22280,51123,92046,53643
50676,31506,86145,56869,32253
47868,24073,50754,30086,98674
87013,48584,86321,35815,69084
84528,27412,63125,41561,41945
38484,44489,44257,47931,96303
27116,46596,55724,22600,64297
29078,20065,46319,40831,73305
51084,35141,36240,63544,52805
30890,44704,47280,33770,54594
74525,36864,51474,30574,32944
52217,19145,26460,43038,64367
48073,70916,31891,80381,82043
37552,22643,62996,41475,80957
50828,34457,63447,27289,38611
90797,122987,62088,58866,49297
23093,26439,57378,67097,38057
46245,33407,35926,54858,64971
46908,30429,39092,74518,69749
73614,63496,55182,97031,53232
44485,41204,57982,40170,55520
45729,24996,38706,28301,131637
47012,28850,42581,30135,64208
91711,24508,26805,41124,30141
88115,75844,31658,28725,87901
100387,57975,33155,54679,48354
60780,30124,58935,41974,44461
47961,55800,39879,26026,53896
44254,32073,43063,31071,68923
27419,39172,48429,58607,68485
48967,40414,47066,45725,38388
33404,46609,110711,27714,46657
39192,46779,79237,21988,47355
78130,77111,57727,29550,81594
28726,56234,68731,32386,58351
41700,41227,49062,28801,78786
63301,40252,67361,34921,120441
43865,48851,82219,32254,110033
21551,43311,39476,47338,56679
40079,90747,45932,68538,58068
46453,113730,79894,32019,68474
61837,69335,26411,85217,50309
51876,52405,54771,42012,46497
70325,80517,51839,53877,76939
32769,77760,75514,53618,108649
56280,30014,54329,52878,87207
84638,45300,44345,22956,77608
28793,51273,110897,37415,60413
57462,32139,69697,60540,60756
58932,51646,43139,66234,64298
38136,25834,36064,89292,53414
59039,40562,42248,47285,100690
37049,55364,101171,75044,41293
28759,49761,60133,35867,29781
69710,21218,45407,32357,75352
66187,58558,40984,45074,63907
92204,29117,88315,42530,92757
31988,48547,86087,46436,50274
52448,28697,32960,30079,39611
37444,38837,66382,19405,80148
96252,38221,75681,30312,90405
39010,36293,62211,30799,80716
43023,39597,44348,48663,108568
56381,33537,34283,52063,61074
64339,26329,33210,38335,35325
68850,39977,48464,24137,45082
49656,38095,35856,24701,50775
27653,39292,67600,54323,57876
78203,40528,79489,38790,53815
51814,59250,62781,85519,76715
62475,36230,75128,59437,44947
55646,106519,74474,27988,92065
42788,34195,87544,29718,62901
103515,127751,52643,66752,46934
47902,40088,82912,31026,74640
86570,34506,57789,62172,46774
109943,59361,87952,61906,112294
59013,36274,76715,49222,41300
45001,41012,33774,29491,50861
31656,46926,56180,52741,49803
61151,40002,37881,56520,46126
39603,53047,69995,76218,67863
25654,101969,36543,45427,119247
69014,48272,61903,29707,33844
34174,90070,60797,45464,29298
48126,44229,54377,23744,63899
65879,61271,57008,44827,32850
56243,70859,62759,74678,58688
83182,93181,71169,82374,79519
78454,47985,26775,75930,59524
50058,28841,39383,45521,53572
61498,84447,52702,22147,126379
71721,38966,49046,28406,72035
72199,48243,41224,40732,52066
