Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, normal
Duplex,Luxury Villa,Farmhouse,Tiny House,Beach House,Studio,Cottage
877,683,488,588,728,654,647
535,659,546,593,369,508,622
614,708,453,678,569,626,556
309,560,550,541,845,639,644
656,412,454,645,637,449,552
553,582,481,481,544,824,587
213,589,497,396,545,472,327
548,633,541,424,745,450,401
633,621,393,662,630,540,485
776,535,462,818,460,751,413
700,472,345,498,811,587,507
722,689,681,588,742,607,581
665,421,623,752,672,533,514
560,212,677,282,377,405,649
769,564,620,733,594,380,563
532,978,549,368,595,706,341
677,398,540,803,609,663,563
544,538,460,417,546,435,637
471,452,623,335,514,588,471
806,777,598,658,554,675,449
715,502,626,430,803,153,592
491,789,660,295,666,552,591
512,606,716,802,834,521,329
561,908,460,547,706,632,584
549,607,451,760,636,386,646
545,439,563,589,492,558,501
537,473,570,253,625,588,479
710,605,477,576,582,207,544
583,862,650,656,631,511,583
90,713,456,721,686,599,499
651,511,429,256,444,514,178
524,672,550,471,723,784,318
555,307,519,631,694,442,545
693,501,605,287,453,601,463
351,690,307,350,683,767,377
658,563,557,493,254,587,376
710,469,489,510,366,613,586
695,450,539,526,724,654,460
761,586,404,679,553,348,553
472,652,445,448,710,545,428
552,402,691,217,591,723,734
646,876,564,757,329,583,322
498,711,516,434,130,441,440
579,628,434,645,563,484,644
495,453,473,472,393,639,699
643,838,559,549,607,304,632
626,865,533,457,565,274,624
357,722,507,645,542,567,441
669,873,538,708,743,563,401
653,975,444,745,799,519,549
410,572,539,371,492,630,571
424,421,463,824,834,392,518
823,826,407,664,697,458,723
669,595,553,677,458,448,418
556,665,691,564,555,622,392
387,620,536,385,794,249,511
194,880,405,612,726,415,527
811,519,470,549,525,692,578
614,784,477,625,391,431,443
550,446,370,531,517,605,636
742,285,639,894,472,655,353
662,644,384,160,746,86,482
557,732,654,841,453,665,104
544,343,459,558,723,529,608
466,541,430,474,436,306,434
438,770,502,728,408,303,547
408,663,418,702,674,689,493
653,435,453,468,397,385,603
629,430,313,347,732,473,478
576,823,450,743,447,474,561
728,517,453,419,450,665,593
522,369,558,626,630,507,514
405,674,510,372,549,823,562
671,549,462,678,640,407,458
503,744,561,728,689,591,404
667,649,564,431,657,436,270
545,494,556,735,314,481,529
731,170,579,453,667,257,532
769,590,592,488,619,361,491
543,363,476,370,396,628,501
599,683,406,403,656,472,421
753,507,510,692,483,322,538
577,478,738,542,576,599,350
492,549,474,95,337,492,525
517,673,495,592,636,540,490
620,536,581,778,669,471,493
534,760,459,265,549,587,593
541,683,466,484,399,426,661
687,798,529,453,581,540,593
302,569,515,407,807,549,431
290,352,679,667,665,683,416
415,775,602,430,452,414,430
555,422,680,520,790,512,550
599,483,420,689,754,423,249
486,796,508,650,399,557,509
538,865,178,714,587,575,450
751,755,536,241,365,567,402
817,287,705,503,541,487,451
414,593,530,380,563,629,527
705,869,310,786,664,479,399
777,727,525,304,661,576,508
431,620,532,592,538,277,436
684,388,584,333,301,533,498
372,597,493,615,457,673,595
498,788,446,543,568,729,737
758,575,598,481,678,767,561
409,615,553,538,547,499,536
558,642,550,675,437,537,484
400,617,584,645,552,531,397
465,839,651,578,521,584,498
734,770,697,338,342,213,192
468,578,599,598,597,346,414
670,738,431,514,493,503,473
747,622,484,321,558,549,480
760,669,552,770,685,655,250
523,703,679,411,731,445,309
509,458,425,543,602,468,475
567,617,229,475,714,285,391
