Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, t
Mansion,Tiny House,Apartment,Beach House,Triplex,Studio
374,203,457,603,290,398
294,302,202,944,467,624
411,350,379,674,881,329
777,598,300,573,463,687
710,575,402,762,532,493
620,364,329,486,482,483
423,186,298,830,391,667
613,473,345,656,477,694
424,393,399,535,451,418
622,707,705,573,618,662
503,391,497,728,704,518
491,567,521,673,677,547
723,485,752,571,332,537
522,144,602,503,614,511
44,239,559,477,545,375
532,731,341,447,601,655
376,355,769,752,606,525
529,499,40,558,901,574
449,506,890,341,578,719
577,325,356,451,425,663
528,641,473,406,809,342
303,556,571,761,351,504
508,842,245,782,585,435
108,754,677,546,399,443
520,682,581,864,566,647
366,481,606,800,360,697
360,801,593,609,624,691
705,468,948,474,553,689
517,438,315,496,539,586
583,708,491,512,393,486
385,730,463,564,654,675
714,391,349,688,761,664
387,585,540,365,757,674
104,551,442,640,422,464
414,568,724,609,560,490
577,736,508,689,558,573
659,557,327,444,435,488
623,480,178,514,390,527
874,542,455,594,488,723
449,739,353,520,247,595
453,570,643,418,496,468
725,440,522,753,511,625
304,435,506,772,545,646
573,482,782,823,359,492
525,168,479,810,340,607
554,45,576,618,952,537
470,638,661,452,343,339
670,572,120,641,510,512
553,558,632,570,340,536
509,450,444,359,499,453
485,806,843,475,467,402
462,726,447,692,528,547
484,605,641,420,378,615
295,749,624,536,534,600
398,513,295,642,139,531
498,321,524,672,613,648
807,661,824,761,590,740
827,533,688,609,588,490
618,322,408,356,578,693
141,490,248,404,285,467
512,415,518,503,699,622
185,600,306,968,470,593
633,283,704,982,605,688
874,206,412,649,624,625
338,734,494,546,671,449
721,282,656,551,494,501
466,779,466,621,411,687
607,442,489,432,620,456
613,551,759,420,609,612
684,733,682,215,544,457
641,769,673,749,691,440
716,1127,482,355,673,574
853,600,583,762,662,532
274,537,182,630,619,255
300,874,1015,779,425,540
565,650,368,524,542,479
614,722,449,628,307,567
273,788,321,653,276,446
841,572,525,669,570,439
533,677,482,404,218,338
580,653,423,624,392,517
570,781,393,512,364,473
338,238,538,658,608,637
350,452,746,452,412,435
316,894,733,590,908,570
352,636,570,299,601,421
299,763,487,481,493,561
598,564,517,554,583,733
671,597,550,564,365,660
406,473,483,687,551,316
476,343,438,671,463,602
566,478,598,452,703,531
233,529,665,547,199,656
594,470,489,517,454,695
826,714,593,668,411,509
396,440,553,647,515,672
120,487,389,560,510,594
318,786,481,265,478,525
330,298,389,412,595,350
561,155,682,122,714,353
953,890,444,450,321,561
410,761,270,730,363,612
618,536,340,716,362,486
950,790,709,535,700,489
365,861,613,664,537,307
547,1020,640,798,487,594
359,483,748,740,386,495
443,459,624,568,676,381
629,708,478,544,613,678
835,484,581,552,354,267
622,266,804,460,477,332
645,692,475,438,503,543
503,640,699,877,137,637
593,347,510,254,877,513
242,718,524,338,505,496
426,965,595,636,551,731
