Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Office Supplies,Jewelry,Automotive,Sports
180,177,420,212
217,248,281,261
148,131,300,256
183,316,162,174
176,237,231,227
211,393,74,100
272,493,140,215
197,137,111,103
209,219,335,152
372,219,501,307
257,150,116,300
243,622,229,397
608,307,215,254
241,115,225,330
411,621,250,318
144,183,154,183
158,185,185,152
494,239,377,113
129,276,317,210
177,121,107,186
252,364,351,225
182,374,119,109
265,322,173,366
119,170,141,327
349,123,273,67
332,119,217,261
70,143,415,243
321,409,146,294
404,501,443,344
181,144,270,273
270,277,357,200
221,113,264,278
287,281,219,118
687,282,164,331
361,135,284,116
510,297,149,450
90,165,227,136
189,173,344,67
423,377,307,84
97,196,119,132
364,128,154,202
411,183,141,149
90,222,262,133
295,117,244,317
113,499,157,235
193,219,195,181
647,143,160,358
202,157,532,118
185,190,275,351
274,93,354,155
183,339,231,298
89,261,164,315
118,175,143,145
214,367,521,391
282,265,101,198
314,395,156,444
470,181,328,328
146,183,231,113
159,192,107,87
221,404,259,161
167,222,384,376
550,267,225,151
116,102,292,122
98,283,149,68
256,427,164,136
137,287,250,106
330,137,283,98
252,273,196,218
117,80,236,458
460,430,471,62
218,166,116,209
468,80,284,293
194,473,265,187
145,236,286,222
364,185,272,89
484,226,243,355
194,181,289,329
455,599,256,207
341,202,190,296
184,320,158,415
161,453,108,221
400,120,566,110
62,232,202,58
311,144,199,262
122,223,155,289
174,202,307,200
245,100,177,131
171,104,433,236
451,387,202,249
170,162,415,168
70,321,179,246
106,239,129,447
163,504,263,207
230,232,209,207
225,298,193,115
294,415,74,289
328,211,133,228
155,129,172,273
435,226,139,153
431,533,145,285
240,122,221,362
165,177,72,151
361,153,344,129
159,153,172,154
187,373,466,230
100,149,129,245
738,171,296,125
89,412,254,312
215,175,206,164
235,176,180,119
121,151,324,331
428,199,147,233
290,184,198,209
309,283,217,133
648,606,114,118
670,60,459,179
220,138,140,121
275,351,433,218
