Retail and E-commerce, Daily sales statistics by product category, thousand USD, normal
Movies,Baby,Tools
312,186,199
285,298,262
356,232,229
169,320,169
293,111,229
281,247,204
300,252,224
330,242,311
211,267,263
289,240,298
313,319,239
385,100,250
280,202,231
277,175,319
354,270,173
408,269,183
215,277,276
387,223,170
253,139,279
357,246,289
293,327,341
224,148,103
315,231,211
241,289,257
339,261,250
193,350,297
371,251,216
235,215,215
309,238,180
323,194,126
283,131,238
279,176,215
285,224,199
305,186,249
307,248,49
371,298,203
257,279,174
288,266,176
289,250,91
444,239,238
305,234,176
275,295,225
331,218,217
266,289,160
274,211,171
238,278,246
324,302,220
186,243,257
254,326,210
364,102,256
329,304,230
285,240,118
325,262,200
276,214,224
309,285,166
323,223,184
270,251,289
309,208,130
290,202,137
298,219,273
397,265,150
289,219,320
359,325,255
330,251,228
291,189,145
263,302,200
193,162,291
187,226,201
275,298,171
295,322,234
223,203,311
319,185,256
286,335,49
292,253,303
365,262,150
393,288,273
291,281,287
260,315,185
304,292,188
316,254,170
353,259,252
286,199,210
265,221,159
268,203,254
261,218,263
353,246,224
269,275,263
334,227,204
206,261,265
323,148,209
237,293,224
251,257,169
245,220,213
344,176,284
255,216,189
287,208,134
275,213,202
302,201,342
383,217,200
320,216,106
323,248,248
301,150,155
237,261,176
365,215,214
395,324,150
350,295,151
257,229,104
276,334,179
179,340,336
325,285,286
342,231,157
264,340,47
381,219,175
343,89,236
390,161,205
272,131,246
257,290,193
315,294,196
