Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Furniture,Jewelry,Pet Supplies,Automotive,Home Decor
74,108,117,167,222
201,153,191,193,430
116,182,101,246,334
281,189,224,138,202
163,233,188,134,352
345,145,217,89,175
310,171,77,376,150
119,115,281,152,486
259,158,102,195,150
236,195,110,255,145
148,167,259,112,182
85,246,293,164,294
69,160,95,206,314
101,234,247,140,223
126,202,351,386,277
176,176,330,219,384
282,395,168,244,463
126,316,181,315,434
184,388,112,320,99
171,164,141,137,252
115,66,336,330,211
176,247,122,153,113
348,281,285,115,248
176,108,114,263,251
129,138,156,565,189
250,132,252,212,379
103,139,91,282,148
230,81,397,261,347
278,201,190,100,259
167,229,484,338,304
171,66,389,223,126
68,125,172,84,395
173,253,292,399,292
154,73,346,225,101
194,99,86,218,424
165,166,155,362,241
102,154,147,219,281
401,95,132,310,244
138,150,273,283,217
150,172,67,245,356
124,459,364,299,459
291,197,456,97,314
140,133,387,412,69
135,110,331,189,343
258,424,174,250,304
70,173,249,331,236
377,141,187,302,235
417,265,234,253,388
190,197,144,194,229
140,222,307,212,155
60,146,176,193,111
143,214,313,149,262
179,149,427,171,219
121,214,242,253,280
185,186,298,314,182
233,404,450,182,380
173,193,301,109,378
70,96,198,173,194
311,122,264,300,388
381,152,150,104,525
84,140,68,253,268
100,124,196,104,228
164,123,86,229,200
89,183,247,194,266
267,128,572,226,217
247,152,216,306,291
121,383,265,143,355
390,265,150,383,171
193,79,156,209,353
74,160,216,214,294
339,340,83,645,160
142,147,168,143,258
259,134,325,210,154
104,239,222,213,330
186,257,251,211,561
149,84,373,257,161
154,279,303,244,192
255,141,106,195,233
190,181,178,211,172
83,96,149,414,450
142,66,158,214,179
126,140,437,264,265
146,239,252,164,106
207,106,162,231,221
142,58,348,275,197
127,118,220,119,80
72,152,132,389,253
259,220,99,346,209
157,73,210,103,509
222,107,239,186,436
122,102,224,368,205
151,200,82,254,561
133,185,95,271,191
116,320,199,230,398
109,291,157,112,486
190,91,355,151,306
145,274,280,121,349
209,211,272,166,205
73,262,94,447,492
122,110,378,479,232
118,332,111,147,222
118,225,241,332,294
70,228,143,276,174
135,156,60,424,251
101,408,139,418,453
124,310,175,118,141
62,370,325,286,121
185,176,185,340,277
141,94,114,202,473
79,212,246,229,237
77,194,128,127,450
138,131,320,423,119
93,97,200,164,151
144,170,209,310,243
87,237,69,178,184
130,236,458,338,245
240,73,185,445,129
300,186,64,395,124
