Business and Finance,Data on the monthly revenue of different companies,USD,t
TechNova,SwiftLink,NextGen,SkyBound,BluePeak
5593598,4845772,4919336,4470242,5593834
1597176,2863542,6432696,6691181,4459490
11006183,4908909,2659415,2977484,4919533
4404066,5892542,1260005,3567337,6090120
7571042,5627069,3618167,7983160,10199888
7454527,426660,3848686,4175357,3677899
6417387,3693440,2545594,5510485,3765099
4452611,3984614,6902620,4469809,5251672
3979138,9505354,6063709,5608676,2664671
4327844,1262701,71812,4158467,2578314
5975203,4448543,1193015,6451064,4433733
6839018,4794755,3478363,3899673,5143607
7627921,5545085,6051403,11891807,6302966
2112966,12176570,2760209,4798637,4454649
5868718,4623130,4977302,5872583,5880595
8777395,2453982,6466447,4838046,8838352
4667195,5313650,3625104,4309396,4736274
10517116,3348774,1020564,4684293,6342668
6213086,7936293,5974479,5963526,3658620
8210774,5917297,8745587,3706353,5633245
3507710,4308932,5160957,7343083,6104588
4058768,6411309,6020063,8232471,5470391
4148031,9396561,6831619,3333963,3287082
7463973,5109875,6557268,6348782,4268579
5852439,5178597,5133926,6545387,5984830
5018850,4840081,6069300,3914594,6048294
4650410,3919541,5261382,5382968,6749887
11912940,6586019,5060300,4249482,4083454
7926982,4108920,4349762,3655198,7148055
2352534,6690715,3340855,3902527,5065798
2977466,3242067,6177598,4077989,5002713
5907478,2184078,3714720,2204408,6971891
3066885,5348629,6061067,5334149,4511527
5704050,7297481,6946839,5559305,6950011
2891737,6313685,4323307,6041659,3204453
5950946,3303591,7827327,3094823,5291019
4077561,4322328,6652558,6522831,6555012
7457709,4680757,5950596,3628731,4813612
5352150,8477024,2129372,4596629,5659143
5437194,4491024,4567544,5823888,5403511
3451752,9310441,3156122,6870122,4475637
4479739,4275229,6268028,4948473,4350387
4074260,4655250,4549178,5407784,8897225
3738138,3282364,4602619,4370783,5374526
10577943,8293446,5843067,5877979,4011016
6809885,6323332,3873765,7309422,3504578
5091121,4580894,3760460,7230027,7843818
4871428,6748117,4769041,3735964,3108321
11692112,6340781,4733847,5603310,5938489
4939215,6177241,355713,3620895,4042717
4647044,3184893,3966563,2075984,6145858
8675819,2720017,4412984,2627725,6699286
6041088,4001897,8215479,3456157,4661440
8369052,6323920,4297456,7614906,4653486
5895841,2679728,5128036,6995863,3179126
6401974,6548854,9233415,5675451,5247324
2818154,201549,7360637,5804834,8425402
2742215,698217,6219779,3896203,6245905
5069067,4078068,5654782,6523990,7332390
6729270,7392255,3550746,5109290,4040901
5495841,4266007,10739733,4680316,4031243
3957583,5231567,2472875,4326307,3682287
4625238,5557701,7299575,5797024,3419703
4235016,8393996,4478622,3704198,3958458
4321793,4223489,10660296,3668404,5768836
3353365,4853361,4978035,5171065,870036
6766665,7918289,4709847,3507929,6976347
2141431,4131136,7017503,8358209,5201573
6588489,1500987,3731742,2637728,4495208
4668192,4325561,6129989,3675448,6403716
6531955,7057099,6338917,4465840,6752881
7053108,4446733,1801298,3995666,5990833
6813908,6292867,5681669,6857514,7173905
5017194,4386403,4934428,5475567,5530344
4353105,5494340,5685132,6514222,7970354
3467507,3919078,238697,4743601,5490640
5628194,6942887,7698883,3813079,3947129
4655020,4509160,7841131,8636351,5437342
6103249,5195655,2995378,4298803,5961696
3898538,5397457,6578556,7234351,4497776
2557004,3762676,4444725,5521142,3179387
5334426,4422766,4468954,5963276,9587492
6960102,4755235,7793587,5337103,5408751
5439202,4924539,5734375,7617124,5532451
7615919,4731976,5547461,6378569,3816614
1414499,3940933,2582522,5613191,5896004
5751842,9162736,4878831,4326509,6327643
6034119,5744504,1942772,4657336,5680433
5619188,707760,2234455,3989049,5122086
3187812,4387127,4401851,4873912,3320024
12529717,5306995,4592575,6783978,3813392
5221906,5210915,4822597,4488852,3282761
4606231,2804234,4465751,4816553,4409631
2237492,681953,6647026,5866684,5422015
5782506,5147008,4233764,3414939,8229861
5057315,5581258,4643596,6650360,5640985
3237742,4578133,3956786,2968403,3597714
6827844,5450013,7685291,5104059,4295767
4168465,7539643,6741548,3748034,4164833
1041999,5477199,5402648,7574451,5360721
5833308,3097363,4779060,3519221,4837679
4406878,5691683,3185871,3443480,6623479
6985869,4031341,6106833,1151411,3321963
5734690,2411429,4752759,4729242,4773441
4657731,7050459,5758995,5285948,6664312
2216892,3135772,5353452,5149646,4885230
5974621,2801054,5179335,3462519,2807632
3660809,4180716,7327801,5534149,2634610
5133007,3895185,3094719,6612869,12945
3445646,6857199,6490160,4372193,4995605
9063566,4513352,3569727,4590511,4963070
6581138,7513926,2035500,8206608,3885393
3726217,3846092,3436991,4619483,5732840
6522406,6926748,5377548,3590214,4140327
5005783,3546313,2572848,3265345,4144882
4631100,5711874,6778136,4143871,8849274
12005011,7260605,5056293,7049609,3562976
