Business and Finance,Data on the monthly revenue of different companies,USD,skewed
UrbanFlow,SmartHub
4107036,4491881
4013697,2477754
5782874,4945903
14882843,5760562
5702143,12423359
15676992,3053772
6911233,7938789
3261535,5551857
2766638,7935181
6103094,8849654
8574854,5562125
3705098,5116061
8565040,18183523
4611783,6349243
6788325,7671401
7815843,11207110
5808417,10964947
5357433,3240884
12726367,6129523
5626068,3023922
10373031,9478515
7599844,9371906
5157764,5111042
5503619,5754871
5711415,2589290
4335906,8411573
3693723,4301944
5456837,7695085
7025085,9582780
2220954,3588124
8749855,8413401
5052342,8301892
6453540,3969816
5029512,4619761
4619188,7726300
5679561,9339112
11391806,3705837
8287281,6667110
9198258,6708077
5240377,3922026
8002680,7900718
4108366,5933953
3681644,3899307
7557284,13092342
17663922,5584256
12547062,6308530
3663657,5812592
7662646,4225046
6921477,7085177
5614515,4686035
15976513,5056122
5643442,8500444
7118783,12794197
4862174,8161832
4199816,4282376
16573938,6148951
16227943,4543496
3321437,6538218
9374966,5717014
2732955,16811164
7843739,9942215
6875402,4533537
4696125,7523686
4510523,14543228
9807428,7396820
7353540,7515757
6377317,3194379
4467185,6382806
2672587,3714269
3315178,4172691
8328485,9091005
8601665,12785745
5722914,8642496
10105328,17112476
8957298,6926014
9542579,3212237
5272839,5924001
4249677,2970578
2898729,4201985
4936245,8023202
13846045,10087654
8459644,5751574
11193639,9688746
8028458,2420223
6270110,2969695
9581074,6255073
6384930,4029985
5248025,5309093
6256155,7409882
2463038,3391954
3894999,9102569
7836656,3093173
3075817,2431973
5983323,9791956
5862762,4074678
12032286,6080190
7905711,14332927
6142061,4327374
5922958,3666542
7348366,12620472
4780023,3054151
5714526,2941082
13594454,6886026
4984179,15168999
6394199,10376986
3033921,13228488
11299683,15684523
4146455,10553643
4604785,3222003
7872418,27014925
8946583,8132070
6178358,10417906
14295295,6899995
12531722,4534323
6818822,10324047
12214341,10692858
2952216,2884125
6151519,6342893
7403442,5530048
3766649,12286853
