Business and Finance,Data on the monthly revenue of different companies,USD,t
BrightEdge,DataPulse,NovaEdge
7055894,5402958,5661113
3473519,4773649,3869744
6433637,4937795,3916891
5976918,3800119,3737550
3774589,796690,2712958
4710445,3399407,4557871
933677,7392300,4738584
6866289,5520908,4445152
4640158,5907079,6946841
10717526,5313708,3408205
4893706,3546876,5302986
3823594,6752114,2363592
10811052,5609708,4863036
4554355,4220190,6954403
4405682,5085878,4587054
5213774,4373588,8281607
5402734,4315354,3648020
6989746,4971381,8069339
150525,4482200,8668976
4405877,3724559,4387312
7197752,3987752,6091552
7446976,5967257,9489011
4646954,6573189,4532465
6808989,7136661,8277085
2583191,7064013,2874251
4035342,7995184,4700800
1502008,5089575,5107680
4879938,3298427,6012978
5475662,2222008,5139012
2596876,4134690,8370629
4711457,6350524,7239785
1882821,3481824,6091731
4021185,4005756,2770812
4585937,7048916,4686863
4384025,7276087,6368719
6549686,7387950,5966785
4454178,4586159,3591381
10416108,4978565,5709705
4607280,5238125,10307461
6604735,5334887,6235173
6082740,6870215,7550155
7109114,2655020,4260761
5731738,6397301,5879241
2390462,4943888,6035603
5176920,5826380,5293773
3628419,2978942,5161772
2241210,4814797,4321945
11911556,3543228,5331613
7422083,6559527,3000970
8045180,4822055,8301941
2871174,5643350,7233431
31348,4472506,6271232
4614125,3037974,5563696
2319085,5359476,5771389
4602101,7267001,4319103
5056809,5122442,7094795
6111157,4405665,5947254
7023941,4610207,3298280
6713800,7169654,4546536
4910643,6608738,4855687
6482398,3592840,3421126
4915433,4779491,3980966
5210346,1966899,3907274
5729091,4191963,948850
5582656,3481141,4159188
6057136,4652934,281488
6827636,7020155,9065580
9609908,5772576,7011835
7269888,4193885,5820712
5101887,5859674,2207335
5689794,3719209,4638191
4863383,6338675,7384386
3816438,6509396,10825875
6485894,3871453,4640792
1721612,2091266,4984445
2807092,7712537,6006528
4547556,6791891,7059258
7311870,3347761,3087361
4876339,6944570,6380475
4683163,5331668,1777031
2304574,4420608,5777211
7455674,3853666,4711096
3884782,5107977,4756263
5086705,5670468,4768713
6678270,4875544,5340769
3595906,4238201,2471174
3883494,4634934,4530531
2034661,5856140,3029789
5022046,6183179,4800774
3077739,5379447,5737933
7960699,7037618,5994082
4957893,3645836,4093456
5461232,7970702,6110506
6363623,1055677,5206430
5022465,6950939,3813009
5745019,2259470,6603554
6046545,4088246,5260495
8356025,1738616,8930486
5939259,4191002,6928959
3937015,4275938,2521540
5564134,4117401,4911756
6409849,3666962,6088986
3978344,5464015,8248096
6007202,6367402,4785553
8293828,3745906,9024683
5146827,4488538,4586531
1720746,3975981,7860347
4474353,5017637,6487723
3859931,2336074,6555290
5900848,6724220,9714175
6309330,5804719,3540349
5067037,4671760,4757430
8902184,5445197,5317618
3874267,8046562,2969048
6513874,3894629,6030606
6427455,6420957,5273350
6571475,4849378,3877542
